dba_name,business_owner_name,naics_code,address_no,address_pd,address_road,address_sfx,address_city,address_zip,zip_6dig
SMARRCO INC,SMARRCO INC,541,1397,,CAMINITO HALAGO,,SAN DIEGO,92037-7165,92037
EXTRA SPACE  MANAGEMENT INC,EXTRA SPACE MANAGEMENT INC,53113,8192,,MIRAMAR,RD,SAN DIEGO,92126-4321,92126
BXPRESS INTERNATIONAL GROUP,BXPRESS INTERNATIONAL GROUP,421,9668,,HEINRICH HERTZ,DR,SAN DIEGO,92154-7919,92154
SDCCU RAPID REGISTRATION,SAN DIEGO COUNTY CREDIT UNION,81299,6545,,SEQUENCE,DR,SAN DIEGO,92121-4363,92121
COAST INVESTIGATION,WEBB MARK R,52421,10755,,SCRIPPS POWAY,PKWY,SAN DIEGO,92131-3924,92131
FILKEY & ASSOCIATES INC,FILKEY & ASSOCIATES INC,53121,10050,,SCRIPPS LAKE,DR,SAN DIEGO,92131,92131
ELEMATEC USA CORPORATION,ELEMATEC USA CORPORATION,42299,4909,,MURPHY CANYON,RD,SAN DIEGO,92123-4349,92123
DELTA GROUP ELECTRONICS INC,DELTA GROUP ELECTRONICS INC,3344,10180,,SCRIPPS RANCH,BLVD,SAN DIEGO,92131-1234,92131
BEST LIFE CHIROPRACTIC - DR GERALD PALMES PC,BEST LIFE CHIROPRACTIC - DR GERALD PALMES PC,62131,9909,,MIRA MESA,BLVD,SAN DIEGO,92131-1072,92131
ANASTASIA MYSINA,ANASTASIA MYSINA,54193,1455,,FRAZEE,RD,SAN DIEGO,92108-4350,92108
CELEBRATE EVERYTHING EVENTS,DEANNA ROWLAND,81299,3510,,TALBOT,ST,SAN DIEGO,92106,92106
ABLENDING INC,ABLENDING INC,5223,11571,E,RANCH GATE,RD,SCOTTSDALE,85255-8237,85255
BRANDON PLASCENCIA,BRANDON PLASCENCIA,4859,3980,,HATTON,ST,SAN DIEGO,92111-3408,92111
GOLDEN POPPY PRESCHOOL & INFANT CENTER,ANOOP SHARMA,62441,3422,,TRIPP,CT,SAN DIEGO,92121-1026,92121
KEARNY MESA HYUNDAI,SUNROAD KMI AUTO INC,44111,8265,,VICKERS,ST,SAN DIEGO,92111-2119,92111
CAGE & MILES  LLP,JAIME N TEUCHERT CAGE & SHANNON B MILES,54111,16644,W,BERNARDO CENTER,DR,SAN DIEGO,92128,92128
EVERHART CONSTRUCTION,EVERHART ANTHONY R,235,9986,,VALLE CABALLO,LN,EL CAJON,92021,92021
ANASA BILLINGSLY CONSULTING SERVICES LLC,ANASA BILLINGSLY CONSULTING SERVICES LLC,5416,4931,,DASSCO,CT,SAN DIEGO,92102-3717,92102
SD ROSS & COMPANY INC,SD ROSS & COMPANY INC,5619,2754,,CALHOUN,ST,SAN DIEGO,92110-2706,92110
MARBLE WORKS OF SAN DIEGO,MARBLE WORKS OF SAN DIEGO,327,3754,,MAIN,ST,SAN DIEGO,92113-3834,92113
LAZOS COMMUNICATIONS,THOMAS S LAZOS,2353,7828,,BLUE LAKE,DR,SAN DIEGO,92119-3017,92119
NORMAS TAX PREPARATION ACCOUNTING & NOTARY SERVICE,NORMA D THIELMAN,54121,7490,,GUTHRIE,WAY,SAN DIEGO,92114-4633,92114
SHERRYS' BRUSH ART & SUPPLIES,KENDRICK SHERRY,6116,3827,,MISSION,BLVD,SAN DIEGO,92109-7052,92109
HOLLY J BAUER,HOLLY J BAUER,611,2966,,DOVE,ST,SAN DIEGO,92103-5543,92103
BAKER PROPERTIES,BAKER LEE R,5312,1434,,ESSEX,ST,SAN DIEGO,92103,92103
BOWMAN'S TRAVEL,DELORIS B THOMPSON,56151,1770,,DAYTON,DR,LEMON GROVE,91945-4110,91945
VIVA LA FIESTA,ANA I DELGADO-ARREDONDO,45322,2545,,EL CAJON,BLVD,SAN DIEGO,92104-6154,92104
ROBERT D TONKS MD,TONKS ROBERT D,6211,8010,,FROST,ST,SAN DIEGO,92123-4204,92123
SPOT REAL ESTATE LLC,SPOT REAL ESTATE LLC,53121,13122,,ROUNDUP,AVE,SAN DIEGO,92129-2453,92129
CUSTOM YACHT WORKS,CAMERON SALIMI,81149,1220,,ROSECRANS,ST,SAN DIEGO,92106-2674,92106
WESTERN BAY SHEET METAL INC,WESTERN BAY SHEET METAL & MARINE INC,3314,1410,,HILL,ST,EL CAJON,92020-5749,92020
LEPANTO COMMUNICATIONS,JAMES M. LEPANTO,61171,1919,,DALE,ST,SAN DIEGO,92102-1113,92102
JON D RIGNEY A PROFESSIONAL CORP,JON D RIGNEY A PROFESSIONAL CORP,5411,2333,,CAMINO DEL RIO SOUTH,,SAN DIEGO,92108-3615,92108
AURORA BEHAVIORAL HEALTH,MONICA FEDEROFF,6232,11878,,AVENUE OF INDUSTRY,,SAN DIEGO,92128-3423,92128
HYSOCEAN INC,HYSOCEAN INC,5416,7150,,SHORELINE,DR,SAN DIEGO,92122-4914,92122
SIKANDER JAIN,JAIN SIKANDER,53131,10513,,BRAZO,WAY,SAN DIEGO,92127-3329,92127
SOUTHBAYBLINDS,ROBERTO MEDINA,454,3723,,SUNSET,LN,SAN YSIDRO,92173-3305,92173
MARKLEIN PLUMBING,CRAIG J MARKLEIN,23511,23126,,VISTA RAMONA,RD,RAMONA,92065-4064,92065
S & K INTERNATIONAL TRADING LLC,S & K INTERNATIONAL TRADING LLC,42169,17918,,VILLAMOURA,DR,POWAY,92064-1000,92064
BROKEN STONES LLC,BROKEN STONES LLC,53139,14678,,IBEX,CT,SAN DIEGO,92129-3361,92129
MELTDOWN PRODUCTIONS,MELTDOWN PRODUCTIONS LLC,54143,6161,,EL CAJON,BLVD,SAN DIEGO,92115-3922,92115
HEYLMAN & CO LLC,HEYLMAN & CO LLC,8129,4017,,CORONADO,AVE,SAN DIEGO,92107-3732,92107
DOUGLAS PIPELINE INC,DOUGLAS PIPELINE INC,23599,502,,CHANEY,ST,LAKE ELSINORE,92530-2768,92530
MARK'S AUTO GLASS SERVICE,MARKS AUTO GLASS INC,54199,1648,N,MAGNOLIA,AVE,EL CAJON,92020-1252,92020
PRESERVATIONS,EVES LINDA S,339999,1151,,BARCELONA,DR,SAN DIEGO,92107-4152,92107
BBA PARTNERS LLC,BBA PARTNERS LLC,53139,15,W,SOUTH TEMPLE,,SALT LAKE CITY,84101-1526,84101
BRIGHT AND EARLY OCCUPATIONAL THERAPY INC,BRIGHT AND EARLY OCCUPATIONAL THERAPY INC,62134,4146,,MONROE,AVE,SAN DIEGO,92116-4747,92116
KAIZEN BUILT INC,KAIZEN BUILT INC,23,6844,,HYDE PARK,DR,SAN DIEGO,92119-2230,92119
STEVE G KUSTER & SUSANNE LARSSONKUSTER,STEVE G KUSTER & SUSANNE LARSSONKUSTER,53121,5172,,GREAT MEADOW,DR,SAN DIEGO,92130-6959,92130
EL CUERVO TACO SHOP,BARAJAS RICCARDO/BARAJAS JOSE,7221,110,W,WASHINGTON,ST,SAN DIEGO,92103,92103
ANANDASCAPES LLC,ANANDASCAPES LLC,54149,3813,,RAY,ST,SAN DIEGO,92104-3622,92104
ZMK CONSTRUCTION INC,ZMK CONSTRUCTION INC,233,1835A,S,CENTRE CITY,PKWY,ESCONDIDO,92025-6525,92025
GWEN GORDON PUBLIC RELATIONS,GWEN GORDON,54182,12767,,TEXANA,ST,SAN DIEGO,92129-3616,92129
LKQ LAKENOR AUTO & TRUCK SALVAGE INC,LKQ LAKENOR AUTO & TRUCK SALVAGE INC,49221,7411,,GOEN,PL,SAN DIEGO,92120-1271,92120
STICHIC,YIMAX CLOTHING INC,44812,2707,,FRUITLAND,AVE,VERNON,90058,90058
MATTHEW  W  CABRAL AND JENNIFER QUINN,MATTHEW W CABRAL AND  JENNIFER QUINN,454112,11347,,RED CEDAR,LN,SAN DIEGO,92131-1927,92131
RUSSELL JOHN FILMS LLC,RUSSELL JOHN FILMS LLC,54192,7312,,BIRCHCREEK,RD,SAN DIEGO,92119-1622,92119
DEYNA LIBIRAN L AC,DEYNA LIBIRAN,621399,4420,,HOTEL CIRCLE,CT,SAN DIEGO,92108-3433,92108
THE AFTER PEAK,PAUL CHAMPY,454,2632,,VIOLET,ST,SAN DIEGO,92105-4535,92105
SEABEE BUILDING SERVICES INC,SEABEE BUILDING SERVICES INC,541,4955,,ARIVA,WAY,SAN DIEGO,92123-2192,92123
SCHEIB PAINT AND BODY OF SAN DIEGO,LIVOLSI CORPORATION,81112,4129,,SPORTS ARENA,BLVD,SAN DIEGO,92110-5130,92110
FIRST COMMAND FINANCIAL SERVICES INC,FIRST COMMAND FINANCIAL SERVICES INC,52421,2650,,CAMINO DEL RIO NORTH,,SAN DIEGO,92108-1631,92108
GIFTS FROM A GODDESS,CHASTAIN SARABIA,3399,606,,03RD,AVE,SAN DIEGO,92101-6838,92101
CHUAN-YING JENNY CHENG,CHUAN-YING CHENG,541213,4407,,MENSHA,PL,SAN DIEGO,92130-2435,92130
MR TOADS MESSENGER SERVICE,DENNIS J LOCKWOOD,49221,3411,,47TH,ST,SAN DIEGO,92105-3513,92105
HENKELS & MCCOY INC,HENKELS & MCCOY INC,23599,2840,,FICUS,ST,POMONA,91766-6501,91766
TEQUILA SUNRISE CREATIONS,RAYMOND J BUTLER,54192,3461,,ROLLSREACH,DR,SAN DIEGO,92111-4723,92111
KING TECHNOLOGIES INC,KING TECHNOLOGIES INC,541,3760,,SPORTS ARENA,BLVD,SAN DIEGO,92110-5156,92110
ROLLIN OLDIES RESTORATION,STEVE C WILSON,81299,10781,,VIA CIMBORIO,CIR,SAN DIEGO,92131-2651,92131
MARIO GHIO FISHING,MARIO GHIO FISHING,541,1505,,CLOVE,ST,SAN DIEGO,92106-2131,92106
LBY CAR DETAILING,YSUYA ARANGO,811193,1222,,KENALAN,DR,SAN DIEGO,92154-3720,92154
ABA ADAPTIVE SERVICES,TEDI R TEABOUT,62133,6494,,WEATHERS,PL,SAN DIEGO,92121-2938,92121
SCRIPPS VENTURES INC,SCRIPPS VENTURES INC,54199,7339,,CALLE COSTABAL,,SAN DIEGO,92121-2658,92121
LAW OFFICES OF DAVID W BRODY APC,LAW OFFICES OF DAVID W BRODY APC,5411,1350,,COLUMBIA,ST,SAN DIEGO,92101-3455,92101
KERN FAMILY RESTAURANTS LLC,KERN FAMILY RESTAURANTS LLC,454,811,,PROSPECT,ST,LA JOLLA,92037-4207,92037
PENGUIN PRODUCTIONS,MACLEAN-FOWLER RICK & MACLEAN-FOWLER JUDY,5121,8982,,STIMSON,CT,SAN DIEGO,92129,92129
PARK AVENUE CLEANERS,HUNG VIET TRAN,81232,12145,,ALTA CARMEL,CT,SAN DIEGO,92128-3891,92128
STRONGARM ENVIRONMENTAL FIELD SERVICES,CASEY CROSBY,562,740,,WILLIAMSON,AVE,FULLERTON,92832-2132,92832
MARTHA OJEDA GUTIERREZ,MARTHA OJEDA GUTIERREZ,45,3500,,SPORTS ARENA,BLVD,SAN DIEGO,92110-4919,92110
MAID IN A DAY,ALBINA ROMAN,56172,5069,,CHOLLAS,PKY,SAN DIEGO,92105-4809,92105
BRIERTON JONES & JONES LLP,BRIERTON JONES & JONES LLP,5411,1550,,HOTEL,CIR,SAN DIEGO,92108-2911,92108
MARLY WEXLER,WEXLER MARLY B,621399,4314,,CAMPUS,AVE,SAN DIEGO,92103-2407,92103
HONDRE C MORENO,HONDRE C MORENO,812197,5096,,GLEN,ST,LA MESA,91942-9563,91942
STYLE DAHLIA,ANDREA LYN KENNEDY,54149,177,,WALKER,WAY,VISTA,92083-5844,92083
BERNARDO WEST CHIROPRACTIC,HEE/OSLANCE,62131,16766,,BERNARDO CENTER,DR,SAN DIEGO,92128-2563,92128
GREEN RHINO INC,GREEN RHINO INC,42199,7920,,SILVERTON,AVE,SAN DIEGO,92126-6310,92126
DAMERJI DENTAL CORPORATION,GEORGE DAMERJI,6212,4620,,CONVOY,ST,SAN DIEGO,92111-2328,92111
SHOZEN & MANPO,JOOIL CHA & HYEKYONG YUN,72211,9906,,MIRA MESA,BLVD,SAN DIEGO,92131-1015,92131
LILAC CUSTOM SERVICES,KEVIN C THOMAS,5614,1802,,OAKSHIRE,CT,SAN DIEGO,92102-1321,92102
NANCY M SATUR MD INC,NANCY M SATUR MD INC,621111,5717,,PACIFIC CENTER,BLVD,SAN DIEGO,92121-4250,92121
YOLANDA'S CLEANING,MARIA Y PEREZ,56172,4166,,MONROE,AVE,SAN DIEGO,92116-4773,92116
LA JOLLA SPORT HORSES LLC,LA JOLLA SPORT HORSES LLC,112,725,,MUIRLANDS VISTA,WAY,LA JOLLA,92037-6202,92037
ABDIRISAK A MOHAMED,ABDIRISAK A MOHAMED,48531,2835,,WASHINGTON,ST,LEMON GROVE,91945-3006,91945
THE LAW OFFICE OF AARON GIRON,AARON R GIRON,54111,7710,,BALBOA,AVE,SAN DIEGO,92111-2254,92111
PREFERRED GOVERNMENT STAFFING INC,PREFERRED GOVERNMENT STAFFING INC,5613,4909,,MURPHY CANYON,RD,SAN DIEGO,92123-4301,92123
SALLY BEAUTY SUPPLY #1962,SALLY BEAUTY SUPPLY LLC,44612,662,,DENNERY,RD,SAN DIEGO,92154-8402,92154
HANGER PROSTHETICS & ORTHOTICS WEST INC,HANGER PROSTHETICS & ORTHOTICS WEST INC,6219,4150,,REGENTS PARK,ROW,LA JOLLA,92037-1417,92037
D G ELECTRIC,ALL ELECTRIC INC,54199,,,,,SAN DIEGO,92192-2792,92192
BARB HOLLES,BARB HOLLES,54121,6357,,RANCHO MISSION,RD,SAN DIEGO,92108-2010,92108
SERRATOS CLEANING SERVICES,ANDREA AND BROTHERS CORPORATION,5617,265,,QUINTARD,ST,CHULA VISTA,91911-4309,91911
WHITNEY PERKINS,WHITNEY PERKINS,61162,1702,,KETTNER,BLVD,SAN DIEGO,92101-2524,92101
LUCID PRODUCTIONS ,MARCO M EMTESALI,54143,8008,,GIRARD,AVE,LA JOLLA,92037-4161,92037
NICHOLAS D VANNORDHEIM ,NICHOLAS D VANNORDHEIM,54199,5635,,REGIS,AVE,SAN DIEGO,92120-4823,92120
BEACH BUMZZ LLC,BEACH BUMZZ LLC,72211,978,,GARNET,AVE,SAN DIEGO,92109-2728,92109
SKINDAMENTALS,DINA SARKISOVA,81219,,,,,SAN DIEGO,92196-0903,92196
TREJO LANDSCAPING SERVICES,JOSE ANTONIO TREJO,56173,2525,,CENTRAL,AVE,SPRING VALLEY,91977-3208,91977
EAST BAY CONSTRUCTION,EAST BAY CONSULTING,23599,2130,,MAIN,ST,HUNTINGTON BEACH,92648-6442,92648
SAN DIEGO VAN SERVICE,AMMON BAIN & ASSOCIATES LLC,33699,4138,,GALT,ST,SAN DIEGO,92117-1125,92117
CARBON PERFORMANCE SAILING,CARBON PERFORMANCE SAILING LLC,48321,302,,WAHINGTON,ST,SAN DIEGO,92103,92103
FOOT LOCKER #7314,FOOT LOCKER RETAIL INC,44821,4457,,CAMINO DE LA PLAZA,,SAN YSIDRO,92173-3004,92173
SUPERIOR KITCHEN & BATH INC,SUPERIOR KITCHEN & BATH INC,23599,1567,N,CUYAMACA,ST,EL CAJON,92020-1509,92020
DR DEMO DEMOLITION SERVICES,R MONTANEZ CONTRACTING INC,23599,285,,MACE,ST,CHULA VISTA,91911-5822,91911
RAMIN DARANDEH,RAMIN DARANDEH & ARMITA RASHIDISHARIFABAD,541,16507,,DOVE CANYON,RD,SAN DIEGO,92127-4304,92127
LETTY ALVAREZ ,LETTY ALVAREZ,5418,5865,,FRIARS,RD,SAN DIEGO,92110-6010,92110
PRECEPT WIRELESS CONSULTANTS LLC,PRECEPT WIRELESS CONSULTANTS LLC,514199,2014,,GRANADA,AVE,SAN DIEGO,92104-5520,92104
BARBIE'S BEADS,SOLLEY BARBARA M,421,6615,,LA JOLLA,BLVD,LA JOLLA,92037-6020,92037
MANILL ENTERPRISES INC,MANILL ENTERPRISES INC,56199,4207,,AVATI,DR,SAN DIEGO,92117-4408,92117
THE EHRMAN MARKETING GROUP,SHELLEY ANN EHRMAN,541613,13619,,WINSTANLEY,WAY,SAN DIEGO,92130-1412,92130
DENNIS L COSTELLO MD,COSTELLO DENNIS L,6211,9850,,GENESEE,AVE,LA JOLLA,92037-1212,92037
BLOSSOMHILL THERAPEUTICS INC,BLOSSOMHILL THERAPEUTICS INC,54171,3525,,JOHN HOPKINS,CT,SAN DIEGO,92121-1121,92121
VIGIMAT INSURANCE SERVICES,MARIAS MULTISERVICES CORP,52421,321,E,SAN YSIDRO,BLVD,SAN YSIDRO,92173-2758,92173
TDS PLACE,ICARO VALLVE & LIBIA GUEVARA,7221,9965,,BUSINESSPARK,AVE,SAN DIEGO,92131-1125,92131
COSTCO WHOLESALE 578,COSTCO WHOLESALE CORPORATION,45291,,,,,SEATTLE,98124-3405,98124
HOFFMAN CHRIOPRACTIC,HOFFMAN KEVIN L,62131,7670,,OPPORTUNITY,RD,SAN DIEGO,92111-2266,92111
SAN DIEGO ELECTRIC BIKE,DAVID L HACKBART,45111,7444,,GIRARD,AVE,LA JOLLA,92037-5142,92037
NIKE RETAIL SERVICES INC,NIKE RETAIL SERVICES INC,448,1,SW,BOWERMAN,DR,BEAVERTON,97005-0979,97005
GLEAM IN YOUR EYE LLC,GLEAM IN YOUR EYE LLC,454,3306,,MORAGA,PL,SAN DIEGO,92117-5314,92117
JOEL LAZAR PHD,JOEL DEAN LAZAR PHD,62133,3262,,HOLIDAY,CT,LA JOLLA,92037-1811,92037
PROFESSOR JOEY GRECO,JOSEPH J GRECO III,61171,3910,,INGRAHAM,ST,SAN DIEGO,92109-5906,92109
WELLSPRING ENDOCRINOLOGY,SANDEEP S CHAUDHARY MD A PROFESSION,621111,6480,,WEATHERS,PL,SAN DIEGO,92121-3911,92121
NEXTX,MARSHALL B CHAMBERS & MICHAEL DAVID,541615,8711,,WALKDEN,LN,SAN DIEGO,92119-2035,92119
PARSONS SECURE SOLUTIONS INC,PARSONS SECURE SOLUTIONS INC,56111,110,W,A,ST,SAN DIEGO,92101-3711,92101
THE PURPLE PEARLS,KARLA VELAZQUEZ,81299,3225,,WING,ST,SAN DIEGO,92110-4627,92110
RGP ADMINISTRATIVE SERVICES,ROSEANNE B BROOKS,54121,1850,,SUNSET,BLVD,SAN DIEGO,92103-1642,92103
DEMSKI FINANCIAL GROUP ,MARTHA J DEMSKI ,54161,7770,,REGENTS,RD,SAN DIEGO,92122-1937,92122
JACKSON MECHANICAL LLC,JACKSON MECHANICAL LLC,23511,2830,,SANDOVER,CT,BONITA,91902-2124,91902
LAW OFFICES OF THOMAS T LORD,LORD THOMAS T,5411,401,W,A,ST,SAN DIEGO,92101-7901,92101
CHRISTIANS HANDYMAN SERVICE,CHRISTIAN GIBSON,235,9921,,CARMEL MOUNTAIN,RD,SAN DIEGO,92129-2813,92129
ROBOTRANSPORT INC,ROBOTRANSPORT INC,42199,494,,VISTA SAN LUCAS,,SAN DIEGO,92154-5514,92154
VOLTA CHARGING LLC,VOLTA INDUSTRIES INC,48899,8650,,LAKE MURRAY,BLVD,SAN DIEGO,92119-2828,92119
THE PHYSICAL ENLIGHTENMENT LLC,THE PHYSICAL ENLIGHTENMENT LLC,611621,3344,,LUCINDA,ST,SAN DIEGO,92106-2932,92106
BKM OFFICEWORKS,BKM OFFICEWORKS LLC,42,4780,,EASTGATE,MALL,SAN DIEGO,92121-2063,92121
BEST OFFICE SERVICE LLC,BEST OFFICE SERVICE LLC,54199,2547,,SADDLEHORN,DR,CHULA VISTA,91914-4031,91914
KAMAI HOLDINGS,KAMAI HOLDINGS,54199,3639,,MIDWAY,DR,SAN DIEGO,92110-5254,92110
EME AUTOMOTIVE CONCEPTS,EDWIN  D SANCHEZ,811198,6046,,EDGEWATER,ST,SAN DIEGO,92139-3121,92139
CHIOU-SEN DORA CHEN,CHIOU-SEN CHEN,71151,2480,,DARLINGTON,ROW,LA JOLLA,92037-0926,92037
CENTER FOR AUTISM & RELATED DISORDERS INC,CENTER FOR AUTISM & RELATED DISORDERS INC,6213,21600,,OXNARD,ST,WOODLAND HILLS,91367-7807,91367
HAIRSTYLIST,GRASSI ROSEMARY D,812112,3809,,LELAND,ST,SAN DIEGO,92106-1017,92106
JESSICA LISTER,JESSICA LISTER,62133,2667,,CAMINO DEL RIO SOUTH,,SAN DIEGO,92108-3765,92108
BLM PRODUCTIONS,MATTHEWS BRENDA L,54161,10598,,OAKBEND,DR,SAN DIEGO,92131-2369,92131
KB ENTERPRISES LLC,KB ENTERPRISES LLC,541613,4488,,37TH,ST,SAN DIEGO,92116-4684,92116
THE CONTENTS SPECIALISTS,STRATEGIC KEY GROUP INC,48421,9755,,DISTRIBUTION,AVE,SAN DIEGO,92121-2300,92121
DAZE DIGITAL CREATIONS,DAISY A CAMPOS,454112,123,,ROOSEVELT,AVE,NATIONAL CITY,91950-2844,91950
SWEET GIRL BOUTIQUE/FABRIC HOUND,MYRINDA DIXON,45411,7958,,MISSION CENTER,CT,SAN DIEGO,92108-5411,92108
AMRIT SIMONE DESIGN,AMRIT C SHERGILL,45439,1109,,PACIFICA,PL,ENCINITAS,92024-1343,92024
MCCULLOUGH DESIGN DEVELOPMENT INC,MCCULLOUGH DESIGN DEVELOPMENT INC,23321,10531,,4S COMMONS,DR,SAN DIEGO,92127-3517,92127
JOHN R WILKINSON MD,JOHN R WILKINSON,6211,5555,,RESERVOIR,DR,SAN DIEGO,92120-5149,92120
EKOLOJIK INC,EKOLOJIK INC,54162,6422,,STANLEY,AVE,SAN DIEGO,92115-4147,92115
PADADAK CLAIREMONT MESA,PADADAK CORP,72211,9363,,CLAIREMONT MESA,BLVD,SAN DIEGO,92123-1241,92123
CASH ENTERPRISES A BUSINESS ENHANCER,STANLEY & NANCY CASH ,54161,4482,,VIA AMABLE,,SAN DIEGO,92122-1591,92122
FLOOR INSTALLERS INC,FLOOR INSTALLERS INC,2355,1170,,MORENA,BLVD,SAN DIEGO,92110-3833,92110
MARCH AND ASH MANAGEMENT COMPANY LLC,MARCH AND ASH MANAGEMENT COMPANY LLC,551,2835,,CAMINO DEL RIO SOUTH,,SAN DIEGO,92108-3825,92108
MODIS INC,MODIS INC,5419,9350,,WAXIE,WAY,SAN DIEGO,92123-1048,92123
RIGHTNOW TAX SOLUTIONS,ILIANA Z REYES,541213,4370,,PALM,AVE,SAN DIEGO,92154-1760,92154
IAN D LAWRENCE ,IAN D LAWRENCE ,45399,4896,,ALLIED,RD,SAN DIEGO,92120-2414,92120
RR HVAC INC,RR HVAC INC,23,1804,,GARNET,AVE,SAN DIEGO,92109-3352,92109
SYKTICH FINANCIAL LLC,SYKTICH FINANCIAL LLC,5239,12396,,WORLD TRADE,DR,SAN DIEGO,92128-3789,92128
RUTTI'S SALON,RUTTI RICK F,812112,9350,,CLAIREMONT MESA,BLVD,SAN DIEGO,92123-1221,92123
APPLIED DEMOGRAPHICS,JEFFREY TAYMAN,54169,2142,,DIAMOND,ST,SAN DIEGO,92109-3619,92109
AUDREY BOGORAD,AUDREY BOGORAD,81299,3312,,VANCOUVER,AVE,SAN DIEGO,92104-4839,92104
TA-CARBON,VICTOR M LEGASPI HERNANDEZ & ALFREDO LEGASPI HERNA,72233,9575,,GENESEE,AVE,SAN DIEGO,92121-2039,92121
HARDESTY DRYWALL INC,HARDESTY DRYWALL INC,23599,19451,,SPLIT ROCK,RD,RAMONA,92065-7406,92065
