BorrowerName,BorrowerAddress,BorrowerCity,BorrowerZip,FranchiseName,NAICSCode,BorrowerZip_6dig,Race,Ethnicity
"CALIFORNIA CANCER ASSOCIATES FOR RESEARCH AND EXCELLENCE, IN",9915 MIRA MESA BLVD SUITE 370,SAN DIEGO,92131-1022,,621111.0,92131,Unanswered,Unknown/NotStated
FUN EATS AND DRINKS LLC,12730 HIGH BLUFF DR SUITE 250,SAN DIEGO,92130-3023,,722513.0,92130,Unanswered,Unknown/NotStated
"PROFESSIONAL MAINTENANCE SYSTEMS, INC",4912 Naples Street,San Diego,92110,,561720.0,92110,Unanswered,Unknown/NotStated
COFFMAN SPECIALTIES INC.,"9685 VIA EXCELENCIA, STE. 200",SAN DIEGO,92126-7500,,237310.0,92126,White,Not Hispanic or Latino
"ANESTHESIA SERVICE MEDICAL GROUP, INC",3626 Ruffin Rd,SAN DIEGO,92123-1810,,621111.0,92123,Unanswered,Unknown/NotStated
"SMARTDRIVE SYSTEMS, INC.",9515 Towne Centre Drive,San Diego,92121-1973,,541618.0,92121,Unanswered,Unknown/NotStated
LETTER RIDE LLC,6120 BUSINESS CENTER COURT SUITE 500,SAN DIEGO,92154,,492110.0,92154,White,Hispanic or Latino
PC SPECIALIST INC,10240 Flanders Court,San Diego,92121-2901,,541512.0,92121,Unanswered,Unknown/NotStated
TECHFLOW INC,9889 Willow Creek Road Suite 100,SAN DIEGO,92131-1119,,541511.0,92131,Unanswered,Unknown/NotStated
"JOB OPTIONS, INC.",3465 Camino Del Rio South. Suite 300,San Diego,92108,,624310.0,92108,Unanswered,Unknown/NotStated
CALCON MUTUAL MORTGAGE LLC,3131 CAMINO DEL RIO N 1680,SAN DIEGO,92108-5701,,522292.0,92108,Unanswered,Unknown/NotStated
"CONTROLLED CONTAMINATION SERVICES, LLC",11696 SORRENTO VALLEY RD,SAN DIEGO,92121-1059,,561720.0,92121,Unanswered,Unknown/NotStated
ROBBINS RESEARCH INTERNATIONAL INC,6160 CORNERSTONE CT EAST,SAN DIEGO,92121-3710,,611699.0,92121,Unanswered,Unknown/NotStated
SAMUMED LLC,9360 Towne Centre Dr,San Diego,92121-3057,,621511.0,92121,Unanswered,Unknown/NotStated
"DAYBREAK GAME COMPANY, LLC",15051 Avenue of Science,SAN DIEGO,92128,,511210.0,92128,Unanswered,Unknown/NotStated
FRANCIS PARKER SCHOOL,6501 Linda Vista Rd,San Diego,92111-7321,,611110.0,92111,Unanswered,Unknown/NotStated
THE ARGEN CORPORATION,MIRALANI DR,SAN DIEGO,92126-4304,,339114.0,92126,Unanswered,Unknown/NotStated
"SORRENTO THERAPEUTICS, INC.",4955 Directors Place,SAN DIEGO,92121,,541714.0,92121,Unanswered,Unknown/NotStated
SENTEK CONSULTING INC,2811 Nimitz Blvd Ste G,SAN DIEGO,92106-2320,,541690.0,92106,Unanswered,Unknown/NotStated
"SAN DIEGO CONVENTION CENTER CORPORATION, INC.",111 W HARBOR DR,SAN DIEGO,92101-7822,,561920.0,92101,Unanswered,Unknown/NotStated
"FORTUNEBUILDERS INTERNATIONAL, INC.",3033 Bunker Hill St,SAN DIEGO,92109-5705,,541990.0,92109,Unanswered,Unknown/NotStated
"AFFINITY DEVELOPMENT GROUP, INC.",10251 Vista Sorrento Pwky #300,SAN DIEGO,92121-3774,,561499.0,92121,Unanswered,Unknown/NotStated
"TUSIMPLE, INC.",9191 TOWNE CENTRE DR STE 600,SAN DIEGO,92122-6207,,488490.0,92122,Unanswered,Unknown/NotStated
"ATA ENGINEERING, INC.",13290 Evening Creek South,SAN DIEGO,92128,,541330.0,92128,Unanswered,Unknown/NotStated
RENOVATE AMERICA INC,16409 West Bernardo Drive,San Diego,92127,,541511.0,92127,Unanswered,Unknown/NotStated
"SEESCAN, INC.",3855 RUFFIN RD,SAN DIEGO,92123-1813,,334511.0,92123,Unanswered,Unknown/NotStated
GUARD MANAGEMENT INC,8001 VICKERS ST,SAN DIEGO,92111-1917,,561612.0,92111,Unanswered,Unknown/NotStated
"PARAGON BUILDING MAINTENANCE, INC.",7966 ARJONS DR #A/B,SAN DIEGO,92126-4340,,561720.0,92126,White,Not Hispanic or Latino
QUANTUM DESIGN INC,10307 Pacific Center Court 0.0,San Diego,92121-4340,,334516.0,92121,Unanswered,Unknown/NotStated
"WESTAIR GASES & EQUIPMENT, INC",2506 Market Street 0.0,San Diego,92102-3010,,423830.0,92102,White,Unknown/NotStated
"CLASSY, INC.",350 10TH AVE #1300,SAN DIEGO,92101-8703,,541511.0,92101,Unanswered,Unknown/NotStated
"ROADONE WEST, INC",9150 CHESAPEAKE DR #240,SAN DIEGO,92123-1061,,488410.0,92123,Unanswered,Unknown/NotStated
"BALBOA NEPHROLOGY MEDICAL GROUP, INC.","9610 Granite Ridge Drive, Suite B",San Diego,92123-2684,,621111.0,92123,Unanswered,Unknown/NotStated
STUDENT SUCCESS PROGRAMS,10170 Huennekens St,SAN DIEGO,92121,,611110.0,92121,Unanswered,Unknown/NotStated
"KOAM ENGINEERING SYSTEMS, INC.",7807 CONVOY CT SUITE 200,SAN DIEGO,92111-1209,,237990.0,92111,Asian,Unknown/NotStated
GO-STAFF INC,8798 Complex Dr,San Diego,92123,,561320.0,92123,Unanswered,Unknown/NotStated
RGC GASLAMP LLC,343 4TH AVE,SAN DIEGO,92101-6901,,531390.0,92101,Unanswered,Unknown/NotStated
"ST PAUL'S EPISCOPAL HOME, INC.",328 Maple St,San Diego,92103-6522,,813319.0,92103,Unanswered,Unknown/NotStated
"PRESIDIO COMPONENTS, INC.",7169 CONSTRUCTION CT,SAN DIEGO,92121-2615,,334416.0,92121,White,Unknown/NotStated
MEXICAN STREET FOOD LLC,8899 UNIVERSITY CENTER LN STE 130,SAN DIEGO,92122-1009,,722513.0,92122,Unanswered,Hispanic or Latino
SAN DIEGO SUNRISE MANAGEMENT COMPANY,"7837 Convoy Court, Suite 100",San Diego,92111-1209,,531311.0,92111,Unanswered,Not Hispanic or Latino
CATHOLIC SECONDARY EDUCATION,5555 Del Mar Heights Rd,SAN DIEGO,92130-1368,,611110.0,92130,Unanswered,Unknown/NotStated
INTEGRITS CORPORATION,5205 KEARNY VILLA WAY STE 200,SAN DIEGO,92123-1420,,541512.0,92123,Unanswered,Unknown/NotStated
PREMIER BUSINESS SUPPORT LLC,2763 CAMINO DEL RIO SOUTH,SAN DIEGO,92108-3708,,813910.0,92108,Unanswered,Unknown/NotStated
KIMBALL TIREY & ST JOHN  A LLP,7676 HAZARD CENTER DR STE 900,SAN DIEGO,92108-4501,,541110.0,92108,White,Not Hispanic or Latino
"GMI BUILDING SERVICES,INC.",8001 VICKERS ST,SAN DIEGO,92111-1917,,561720.0,92111,Unanswered,Unknown/NotStated
TACTICAL ENGINEERING & ANALYSIS INC,6050 Santo Rd Ste 250,SAN DIEGO,92124,,541330.0,92124,Unanswered,Unknown/NotStated
"SUNROAD AUTO, LLC",7303 CLAIREMONT MESA BLVD,SAN DIEGO,92111-1101,Ford Motor Company Dealer Sales and Service Agreement,441110.0,92111,Unanswered,Unknown/NotStated
CASK NX LLC,"8910 University Center Lane, Suite 400",San Diego,92122-1025,,541330.0,92122,Unanswered,Unknown/NotStated
GOFORTH & MARTI,110 W A ST STE 140,SAN DIEGO,92101-3700,,337214.0,92101,Asian,Not Hispanic or Latino
SUSAN J. HARRIS INC.,3760 CONVOY ST,SAN DIEGO,92111-3725,,621340.0,92111,Unanswered,Unknown/NotStated
SAN DIEGO FAMILY CARE,6973 Linda Vista Road,San Diego,92111-6342,,621498.0,92111,Unanswered,Unknown/NotStated
"TANVEX BIOPHARMA USA, INC.",10394 Pacific Center CT,San Diego,92121,,541711.0,92121,Unanswered,Unknown/NotStated
THE SAN DIEGO SYMPHONY ORCHESTRA ASSOCIATION,1245 7th Avenue,San Diego,92101-4302,,711130.0,92101,Unanswered,Unknown/NotStated
CLINICOMP INTERNATIONAL INC,9655 Towne Centre Dr,SAN DIEGO,92121-1964,,511210.0,92121,Unanswered,Unknown/NotStated
ADAMIS PHARMACEUTICALS CORPORATION,"11682 EL CAMINO REAL, SUITE 300",SAN DIEGO,92130-2048,,325412.0,92130,Unanswered,Unknown/NotStated
PROTEC ASSOCIATION SERVICES,10180 WILLOW CREEK RD,SAN DIEGO,92131-1636,,236118.0,92131,Unanswered,Not Hispanic or Latino
"AZTEC SHOPS, LTD.",5500 Campanile Dr,San Diego,92182-0001,,611310.0,92182,Unanswered,Unknown/NotStated
"T.B. PENICK & SONS, INC.",15435 Innovation Dr Ste 100,SAN DIEGO,92128-3443,,236220.0,92128,Unanswered,Unknown/NotStated
SWVP LA PALOMA LLC,12770 El Camino Real Suite 200,SAN DIEGO,92130-2007,,721110.0,92130,Unanswered,Unknown/NotStated
"KIRSCHCOHN, INC.",2225 Hancock Street,San Diego,92110,,722511.0,92110,Unanswered,Unknown/NotStated
SAN DIEGO YOUTH SERVICES,3255 Wing Street,San Diego,92110-4600,,813319.0,92110,Unanswered,Unknown/NotStated
CHILDREN'S PRIMARY CARE MEDICAL GROUP,3880 Murphy Canyon Rd,San Diego,92123-4403,,621111.0,92123,Unanswered,Unknown/NotStated
"A.S.I. HASTINGS, INC.",4870 VIEWRIDGE AVE,SAN DIEGO,92123-1642,,238220.0,92123,Unanswered,Unknown/NotStated
"JPI CONSTRUCTION, INC.",8170 Ronson Road STE C,San Diego,92111,,532412.0,92111,Asian,Not Hispanic or Latino
"SOLPAC CONSTRUCTION, INC",2424 Congress Street,San Diego,92110-2819,,236220.0,92110,White,Not Hispanic or Latino
"CASA DE LAS CAMPANAS, INC.",18655 W BERNARDO DR,SAN DIEGO,92127-3001,,623311.0,92127,Unanswered,Unknown/NotStated
"PIERCE EDUCATION PROPERTIES, L.P.",8880 Rio San Diego Dr,SAN DIEGO,92108,,531311.0,92108,Unanswered,Unknown/NotStated
JACKSON & BLANC,7929 ARJONS DR,SAN DIEGO,92126-4301,,238220.0,92126,Unanswered,Unknown/NotStated
"ACE RELOCATION SYSTEMS, INC.",5608 EASTGATE DR,SAN DIEGO,92121-2816,,484210.0,92121,White,Not Hispanic or Latino
"ROAD RUNNER SPORTS RETAIL, INC.",5549 Copley Dr.,SAN DIEGO,92111-7904,,448190.0,92111,Unanswered,Unknown/NotStated
SAN DIEGO ROCK CHURCH,2277 ROSECRANS ST,SAN DIEGO,92106-1988,,813110.0,92106,Unanswered,Unknown/NotStated
LLOYD PEST CONTROL,1331 MORENA BLVD,SAN DIEGO,92110,,561710.0,92110,Unanswered,Unknown/NotStated
"RESCUE AGENCY PUBLIC BENEFIT, LLC",2437 Morena Blvd,San Diego,92110-4152,,541613.0,92110,Unanswered,Not Hispanic or Latino
JEWISH FAMILY SERVICE OF SAN DIEGO,8804 BALBOA AVE,SAN DIEGO,92123-1506,,624190.0,92123,Unanswered,Unknown/NotStated
"GENESIS HEALTHCARE PARTNERS, P.C.",3444 KEARNY VILLA RD SUITE 300,SAN DIEGO,92123-1957,,621511.0,92123,Unanswered,Unknown/NotStated
"CV SCIENCES, INC.",10070 Barnes Canyon Road 0.0,San Diego,92121-2722,,325411.0,92121,Unanswered,Unknown/NotStated
CENTER FOR SUSTAINABLE ENERGY,3980 Sherman St,San Diego,92110-4313,,813319.0,92110,Unanswered,Unknown/NotStated
OLD GLOBE THEATRE,1363 OLD GLOBE WAY,SAN DIEGO,92101-1642,,711190.0,92101,Unanswered,Unknown/NotStated
SAN DIEGO CENTER FOR CHILDREN,3002 Armstrong St,SAN DIEGO,92111-5702,,623990.0,92111,Unanswered,Unknown/NotStated
"GAFCON, INC.",5960 Cornerstone Court West,San Diego,92121-3711,,541330.0,92121,Unanswered,Unknown/NotStated
GENERAL COATINGS CORPORATION,6711 Nancy Ridge Dr,SAN DIEGO,92121-2231,,238320.0,92121,White,Unknown/NotStated
HIGGS FLETCHER & MACK LLP,401 W A ST,SAN DIEGO,92101-3524,,541110.0,92101,Unanswered,Unknown/NotStated
MEDICAL PROFESSIONALS,9350 WAXIE WAY STE 100,SAN DIEGO,92123-1048,,561320.0,92123,White,Unknown/NotStated
"ATLAS GENERAL HOLDINGS, LLC",4365 Executive Drive #400,San Diego,92121,,524210.0,92121,Unanswered,Unknown/NotStated
ROAD RUNNER SPORTS INC,5549 COPLEY DR,SAN DIEGO,92111-7904,,448190.0,92111,Unanswered,Unknown/NotStated
"ANCHOR GENERAL INSURANCE AGENCY, INC.",10256 Meanley Drive,SAN DIEGO,92131,,524126.0,92131,Unanswered,Unknown/NotStated
"DAVIS REED CONSTRUCTION, INC.","12250 El Camino Real, Suite 240, San Diego, CA 92130-2005 0.0",San Diego,92130-2005,,236220.0,92130,Unanswered,Unknown/NotStated
VASTEK INC.,1230 Columbia St Ste 1180,San Diego,92101,,541990.0,92101,Unanswered,Unknown/NotStated
"ST. VINCENT DE PAUL VILLAGE, INC.",3350 E ST,SAN DIEGO,92102,,624229.0,92102,Unanswered,Unknown/NotStated
SWVP SCOTTSDALE LLC,"12770 El Camino Real, Suite 200",SAN DIEGO,92130-2007,,721110.0,92130,Unanswered,Unknown/NotStated
SWVP HILTON HEAD LLC,12770 El Camino Real Suite 200,SAN DIEGO,92130-2007,Hilton Hotels & Resorts,721110.0,92130,Unanswered,Unknown/NotStated
QUARTUS ENGINEERING INCORPORATED,9689 TOWNE CENTER DR,SAN DIEGO,92121-1965,,541330.0,92121,Unanswered,Unknown/NotStated
"ATLAS CONSTRUCTION SUPPLY, INC.",4640 Brinnell Street,SAN DIEGO,92111-2302,,332312.0,92111,Unanswered,Unknown/NotStated
"VOLUNTEERS OF AMERICA, SOUTHWEST CALIFORNIA, INCORPORATION",3530 Camino Del Rio North #300,San Diego,92108,,624410.0,92108,Unanswered,Unknown/NotStated
"AGENA BIOSCIENCE, INC",4755 Eastgate Mall,San Diego,92121,,541714.0,92121,Unanswered,Unknown/NotStated
CALIFORNIA WESTERN SCHOOL OF LAW,225 Cedar Street,SAN DIEGO,92101,,611310.0,92101,Unanswered,Unknown/NotStated
BRL TRANSPORT INC,9606 TIERRA ST 204,SAN DIEGO,92126,,336999.0,92126,Unanswered,Unknown/NotStated
"ELITE SHOW SERVICES, INC.",2878 CAMINO DEL RIO 260,SAN DIEGO,92108-3855,,561612.0,92108,Unanswered,Unknown/NotStated
SAN DIEGO BLOOD BANK,3636 Gateway Center Ave Suite 100,SAN DIEGO,92102-4508,,621991.0,92102,Unanswered,Unknown/NotStated
"POINT B, INC.",17065 CAMINO SAN BERNARDO,SAN DIEGO,92127,,511210.0,92127,White,Not Hispanic or Latino
"IPS GROUP, INC",7737 Kenamar Court,San Diego,92121-2425,,517919.0,92121,Unanswered,Unknown/NotStated
"UNIQUE BUILDING GROUP, INC.",8155 MERCURY CT Suite 100,SAN DIEGO,92111-1227,,236220.0,92111,Unanswered,Not Hispanic or Latino
VILLA RANCHO BERNARDO HEALTH CARE LLC,15720 BERNARDO CNTR DR.,SAN DIEGO,92127,,623110.0,92127,Unanswered,Unknown/NotStated
KLINEDINST PC,"501 West Broadway, Suite 600",San Diego,92101-3505,,541110.0,92101,White,Not Hispanic or Latino
JW FLOOR COVERING INC,9881 Carroll Centre Rd,San Diego,92126,,238330.0,92126,Unanswered,Not Hispanic or Latino
"T-12 THREE, LLC",207  5TH AVE,SAN DIEGO,92101-6908,,721110.0,92101,Unanswered,Unknown/NotStated
"NEXUSCW, INC.",4901 MORENA BLVD Suite 122,SAN DIEGO,92117-3300,,561320.0,92117,Unanswered,Unknown/NotStated
"RED COW, INC.",9455 RIDGEHAVEN CT SUITE 200,SAN DIEGO,92123-1629,,561210.0,92123,Unanswered,Unknown/NotStated
"HI TECH HONEYCOMB, INC.",9355 RUFFIN CT,SAN DIEGO,92123,,332116.0,92123,Unanswered,Unknown/NotStated
"PACKARD PACIFICA, INC",9555 Chesapeake Drive STE 202,SAN DIEGO,92123-1304,,721110.0,92123,White,Not Hispanic or Latino
"PSYCHIATRIC CENTERS AT SAN DIEGO, INC. MEDICAL GROUP","4542 RUFFNER STREET, SUITE 200",SAN DIEGO,92111,,621112.0,92111,Unanswered,Unknown/NotStated
"SUNEVA MEDICAL, INC.",5870 PACIFIC CENTER BLVD,San Diego,92121,,325620.0,92121,Unanswered,Unknown/NotStated
ROMAN CATHOLIC BISHOP OF SAN DIEGO,3888 Paducah Dr,SAN DIEGO,92186,,813110.0,92186,Unanswered,Unknown/NotStated
PACIFIC BUILDING GROUP,9752 Aspen Creek Court # 150,SAN DIEGO,92126-1071,,238990.0,92126,White,Unknown/NotStated
"SAN DIEGO BALLPARK HOTEL COMPANY, LLC",675 L ST,SAN DIEGO,92101-7022,,721110.0,92101,Unanswered,Unknown/NotStated
"OPTIONS FOR ALL, INC",5050 MURPHY CANYON RD Ste 220,SAN DIEGO,92123-4399,,531110.0,92123,Unanswered,Unknown/NotStated
DURAID A. ZAIA,10585 Tierrasanta Blvd,San Diego,92124-2604,,424720.0,92124,White,Not Hispanic or Latino
"HY-LANG ELECTRIC CALIFORNIA, INC.",7737 FORMULA PL,SAN DIEGO,92121-2419,,238210.0,92121,White,Not Hispanic or Latino
"SOCI, INC.",225 Broadway Suite No. 600,San Diego,92101,,541519.0,92101,Unanswered,Unknown/NotStated
"PROVEN SOLUTIONS, LLC",9444 Waples St Ste 440,SAN DIEGO,92121,,541618.0,92121,Unanswered,Unknown/NotStated
BIOTHERANOSTICS INC,9640 Towne Centre Dr Ste 200,SAN DIEGO,92121-1987,,325412.0,92121,Unanswered,Unknown/NotStated
COMMUNITY CATALYSTS OF CALIFORNIA,3750 Convoy St Ste 306,San Diego,92111,,624190.0,92111,Unanswered,Unknown/NotStated
GOMPERS PREPARATORY ACADEMY,1005 47th St,San Diego,92102-3626,,611110.0,92102,Unanswered,Unknown/NotStated
"SUPPLYPRO, INC.","9401 Waples Street,150",San Diego,92121,,339999.0,92121,Unanswered,Unknown/NotStated
ENGINEERING AND SOFTWARE SYSTEM SOLUTIONS INC,550 W C St Ste 1630,SAN DIEGO,92101-3500,,541511.0,92101,Unanswered,Unknown/NotStated
"MODERN TIMES DRINKS, INC.",3725 Greenwood St,San Diego,92110,,312120.0,92110,Unanswered,Unknown/NotStated
CARRIER-JOHNSON,185 W F Street Ste 500,SAN DIEGO,92101,,541310.0,92101,White,Unknown/NotStated
"CP MANUFACTURING, INC.",6795 Calle de Linea,San Diego,92154,,333242.0,92154,Unanswered,Unknown/NotStated
TOMATOES EXTRAORDINAIRE INC,1929 Hancock St. Ste 150 0.0,San Diego,92110-2062,,424480.0,92110,Unanswered,Unknown/NotStated
LENDSURE MORTGAGE CORP,"16959 Bernardo Center Dr, Ste 102",SAN DIEGO,92128,,522292.0,92128,Unanswered,Unknown/NotStated
"SAN DIEGO SERVICES, LLC",5415 Oberlin Drive,San Diego,92121,,541330.0,92121,White,Not Hispanic or Latino
CALI BAMBOO LLC,6675 Mesa Ridge Road Suite 100,San Diego,92121,,541511.0,92121,Unanswered,Unknown/NotStated
"SELTZER CAPLAN MCMAHON VITEK, A LAW CORPORATION",750 B ST,SAN DIEGO,92101-2476,,541110.0,92101,Unanswered,Unknown/NotStated
"JACOB HEALTH CARE CENTER, L.P.",4075 54th St,SAN DIEGO,92105,,623110.0,92105,Unanswered,Unknown/NotStated
HUMANO LLC,4231 BALBOA AVE #1109,SAN DIEGO,92117-5504,,488510.0,92117,Unanswered,Unknown/NotStated
CALIFORNIA MARINE CLEANING INC,2049 MAIN ST,SAN DIEGO,92113-2216,,562211.0,92113,Unanswered,Unknown/NotStated
AMERICAN COUNCIL ON EXERCISE,4851 Paramount Drive,San Diego,92123-1449,,611620.0,92123,Unanswered,Unknown/NotStated
PACIFICA S. D. MANAGEMENT LP,"1775 HANCOCK ST, Ste 200",SAN DIEGO,92110-2036,,541214.0,92110,Unanswered,Unknown/NotStated
SAN DIEGO STATE UNIVERSITY RESEARCH FOUNDATION ON BEHALF OF,5200 Campanile Dr,San Diego,92182,,515120.0,92182,Unanswered,Unknown/NotStated
BIO PHASE SOLUTIONS INCORPORATED,"9710 Scranton Road, Suite 130",San Diego,92121,,453998.0,92121,Unanswered,Unknown/NotStated
OVERLAND STORAGE INC.,4542 Ruffner St. Ste 250 0.0,San Diego,92111-2237,,334112.0,92111,Unanswered,Unknown/NotStated
BALBOA TRAVEL INCORPORATED,5414 OBERLIN DR SUITE 300,SAN DIEGO,92121-4744,,561510.0,92121,Unanswered,Not Hispanic or Latino
"NEW BI US, LLC",17075 CAMINO SAN BERNARDO 1st Floor,SAN DIEGO,92127-5709,,541511.0,92127,Unanswered,Unknown/NotStated
"KRG BHTT, LLC",12730 HIGH BLUFF DR,SAN DIEGO,92130-3023,,722511.0,92130,Unanswered,Unknown/NotStated
"AMERICAN LABOR POOL, INC",8888 CLAIREMONT MESA BLVD STE A,SAN DIEGO,92123,,423390.0,92123,Unanswered,Unknown/NotStated
"CONANT AUTO RETAIL, SAN DIEGO, INC.",5910 Mission Gorge Road,San Diego,92120-4006,"Toyota Motors Sales, U.S.A., Inc. - Dealer Agreement",441110.0,92120,Unanswered,Unknown/NotStated
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP,8745 Aero Dr. Ste 200,SAN DIEGO,92123,,621111.0,92123,Unanswered,Unknown/NotStated
"CO'S TRAFFIC CONTROL, INC.",PO Box 13459,San Diego,92170-3459,,488999.0,92170,Unanswered,Unknown/NotStated
JJ EATS INC.,2225 Hancock St,San Diego,92110-2033,,722511.0,92110,Unanswered,Unknown/NotStated
ENCORE SEMI INC,9444 Waples St Ste 150,San Diego,92121-2941,,541330.0,92121,Unanswered,Unknown/NotStated
NEXUSCW LNC.,4901 Morena Blvd Ste 122,San Diego,92117-3565,,561320.0,92117,Unanswered,Unknown/NotStated
SOLPAC CONSTRUCTION INC,2424 Congress St Ste A,San Diego,92110-2819,,236220.0,92110,White,Not Hispanic or Latino
TUPELO RESTAURANTS INC.,2225 Hancock St,San Diego,92110-2033,,722511.0,92110,Unanswered,Unknown/NotStated
FORTUNEBUILDERS INC,3033 Bunker Hill St,San Diego,92109-5705,,541990.0,92109,Unanswered,Unknown/NotStated
HI TECH HONEYCOMB INC,9355 Ruffin Ct,San Diego,92123-5304,,336412.0,92123,Unanswered,Unknown/NotStated
MEDICAL PROFESSIONALS,9350 Waxie Way Ste 130,San Diego,92123-1015,,561320.0,92123,White,Unknown/NotStated
ROBBINS RESEARCH INTERNATIONAL INC,6160 Cornerstone Ct E Ste 200,San Diego,92121-3720,,611699.0,92121,Unanswered,Unknown/NotStated
OLD TOWN FAMILY HOSPITALITY CORP,2754 Calhoun St,San Diego,92110-2706,,722511.0,92110,Unanswered,Unknown/NotStated
MEXICAN STREET FOOD LLC,8899 University Center Ln Ste 130,San Diego,92122-1009,,722511.0,92122,Unanswered,Hispanic or Latino
TROPHY PROPERTIES INC.,2461 San Diego Ave,San Diego,92110-2877,,722511.0,92110,Unanswered,Not Hispanic or Latino
RESCUE AGENCY PUBLIC BENEFIT LLC,2437 Morena Blvd,San Diego,92110-4152,,541810.0,92110,Unanswered,Not Hispanic or Latino
HARD WORK TOO INC.,2225 Hancock St,San Diego,92110-2033,,722511.0,92110,Unanswered,Unknown/NotStated
