account_key,dba_name,council_district,naics_code,naics_description,naics_nchar
1995000943,WEITZEN PHILLIPS & WEINBERG LLP,cd_1,5411,LEGAL SERVICES,4
1995006738,PADRES L P,cd_3,711211,SPORTS TEAMS AND CLUBS,6
1995007398,CRI 2000 LP,cd_3,321999,ALL OTHER MISCELLANEOUS WOOD PRODUCT MFG,6
1996003752,WALSH MCKEAN FURCOLO LLP,cd_3,5411,LEGAL SERVICES,4
1997000340,GOODRICH & CHEUNG LLP,cd_7,5411,LEGAL SERVICES,4
1997005386,ESTEY & BOMBERGER LLP,cd_3,5411,LEGAL SERVICES,4
1997010730,CHARMASSON BUCHACA LEACH LLP,cd_7,5411,LEGAL SERVICES,4
1998004615,DELSEN & COMPANY LLP,cd_6,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
1998006954,MOGINRUBIN LLP,cd_3,5411,LEGAL SERVICES,4
1998008301,SCHARTZ SEMERDJIAN CAULEY & MOOT LLP,cd_3,5411,LEGAL SERVICES,4
1998008350,ULTIMATE STAFFING SERVICES / LEDGENT,cd_1,56131,EMPLOYMENT PLACEMENT AGENCIES,5
1998009401,DUE PROCESS,cd_6,5411,LEGAL SERVICES,4
1999005854,SHELL CAR WASH & EXPRESS LUBE,cd_1,4471,GASOLINE STATIONS,4
1999007566,BUTTERFIELD-SCHECHTER LLP,cd_5,5411,LEGAL SERVICES,4
1999012950,DOSTART HANNINK & COVENEY LLP,cd_1,5411,LEGAL SERVICES,4
2000001077,MASSEY WEHR AND COMPANY LLP,cd_1,541213,TAX PREPARATION SERVICES,6
2000002261,LAZARUS GOLDBARG & ASSOCIATES LLP,cd_3,54121,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,5
2000012900,FISHER & PHILLIPS LLP,cd_1,5411,LEGAL SERVICES,4
2000013129,DIAMOND ENVIRONMENTAL SERVICES LP,cd_6,5621,WASTE COLLECTION,4
2001007910,ROCKWOOD AND NOZISKA LLP,cd_5,5411,LEGAL SERVICES,4
2001009455,LUSA SD LP,cd_6,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2001010229,MORRIS/SULLIVAN & LEMKUL LLP,cd_5,5411,LEGAL SERVICES,4
2002005671,INSPERITY SUPPORT SERVICES,cd_1,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",5
2003000049,CHERNER & HAMRICK LLP,cd_1,54111,OFFICES OF LAWYERS,5
2003001470,GUM SAAN - THE LAND OF THE GOLDEN MOUNTAIN,cd_3,453998,ALL OTHER MISC STORE RETAILERS (EXC TOBACCO),6
2003005193,A1 SELF STORAGE,cd_6,53311,LESSORS OF OTHER NONFINANCIAL INTANGIBLE ASSE,5
2003007884,A & B ESTATE FAMILY PARTNERSHIP,cd_6,525,"FUNDS, TRUSTS & OTHER FINANCIAL VEHICLES",3
2003008096,GATES GONTER GUY PROUDFOOT &MUENCH LLP,cd_5,5411,LEGAL SERVICES,4
2003010595,PAUL HASTINGS JANOFSKY & WALKER LLP,cd_1,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2003010646,SUPPA TRUCCHI & HENEIN LLP,cd_3,5411,LEGAL SERVICES,4
2003013936,BERKSHIRE HATHAWAY HOMESERVICES CA PROPERTIES,cd_1,5312,OFFICES OF REAL ESTATE AGENTS & BROKERS,4
2003013964,BERKSHIRE HATHAWAY HOMESERVICES CA PROPERTIES,cd_7,531212,REAL ESTATE BROKERS WITH 6 - 12 AGENTS,6
2003014207,BERKSHIRE HATHAWAY HOMESERVICES CA PROPERTIES,cd_1,53121,OFFICES OF REAL ESTATE AGENTS & BROKERS,5
2003014458,JACOBS & SCHLESINGER LLP,cd_3,54111,OFFICES OF LAWYERS,5
2003016207,DUANE MORRIS LLP,cd_3,5411,LEGAL SERVICES,4
2003016548,JUDKINS GLATT & RICH LLP,cd_3,54111,OFFICES OF LAWYERS,5
2003017060,VARCO & ROSENBAUM ENVIRONMENTAL LAW GROUP LLP,cd_3,54111,OFFICES OF LAWYERS,5
2003017706,VIVOLI & SACCUZZO LLP,cd_3,54111,OFFICES OF LAWYERS,5
2003017912,NEW RODEO LP,cd_5,33599,ALL OTH ELECTRICAL EQUIPMENT & COMPONENT MFG,5
2004004247,BERKSHIRE HATHAWAY HOMESERVICES CA PROPERTIES,cd_1,53121,OFFICES OF REAL ESTATE AGENTS & BROKERS,5
2004005238,SCRIPPS MERCY SURGERY PAVILION,cd_3,62111,OFFICES OF PHYSICIANS,5
2004006421,ROBBINS GELLER RUDMAN & DOWD LLP,cd_3,541199,ALL OTHER LEGAL SERVICES,6
2004006712,VILLA CAPRI CUCINA ITALIANA,cd_1,722,FOOD SERVICES & DRINKING PLACES,3
2004007859,ZOOK FAMILY INVESTMENTS LP,cd_2,53111,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,5
2004008692,TM GLOBAL LLP,cd_1,53139,OTHER ACTIVITIES RELATED TO REAL ESTATE,5
2004008912,GOLDBERG & JONES LLP,cd_7,54111,OFFICES OF LAWYERS,5
2004013852,RYAN CARVALHO LLP,cd_7,54111,OFFICES OF LAWYERS,5
2004016370,EDWARD JONES AND CO #16772,cd_2,52,FINANCE & INSURANCE,2
2004016699,CUCINA URBANA,cd_3,72,ACCOMMODATION & FOOD SERVICES,2
2005001749,EDWARD JONES,cd_7,52312,SECURITIES BROKERAGE,5
2005002493,"CATHOLIC CHARITIES 9TH & F STREET APARTMENTS, LP",cd_3,532299,ALL OTHER CONSUMER GOODS RENTAL,6
2005004342,STARK & D'AMBROSIO LLP,cd_3,54111,OFFICES OF LAWYERS,5
2005004357,TOWER 23 LP,cd_2,72111,HOTELS (EXC CASINO HOTELS) & MOTELS,5
2005004423,BERMAN & RIEDEL LLP,cd_1,5411,LEGAL SERVICES,4
2005004564,LA JOLLA ENDOSCOPY CENTER,cd_1,62111,OFFICES OF PHYSICIANS,5
2005005323,FITZGERALD KNAIER LLP,cd_3,54111,OFFICES OF LAWYERS,5
2005010255,FF PROPERTIES LP,cd_6,55111,MANAGEMENT OF COMPANIES & ENTERPRISES,5
2005011679,GENESEE PARK APARTMENTS,cd_6,53111,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,5
2005012390,CLERKIN  SINCLAIR &  MAHFOUZ LLP,cd_3,54111,OFFICES OF LAWYERS,5
2005012735,CAUFIELD & JAMES LLP,cd_7,54111,OFFICES OF LAWYERS,5
2005012737,SLATER & TRUXAW LLP,cd_1,541199,ALL OTHER LEGAL SERVICES,6
2005012976,HINES 525 B STREET ,cd_3,53139,OTHER ACTIVITIES RELATED TO REAL ESTATE,5
2005015674,THE SEASONS AT LA JOLLA LP,cd_2,531,REAL ESTATE,3
2006000166,GUERRERO JIMENEZ DIAZ & COMPANY LLP,cd_3,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
2006002355,ORTHOPAEDIC SURGERY CENTER OF LA JOLLA,cd_1,6214,OUTPATIENT CARE CENTERS,4
2006002639,PARKER & CROSLAND LLP,cd_3,54111,OFFICES OF LAWYERS,5
2006003468,EUCLID ENDOSCOPY CENTER LP,cd_4,6214,OUTPATIENT CARE CENTERS,4
2006006377,SANVIC & ASSOCIATES,cd_6,54121,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,5
2006009239,CONNOR & CUNDEL LLP,cd_3,541199,ALL OTHER LEGAL SERVICES,6
2006009801,GARCIA HERNANDEZ SAWHNEY LLP,cd_3,54111,OFFICES OF LAWYERS,5
2006010738,WENTHUR LAW GROUP LLP,cd_2,541199,ALL OTHER LEGAL SERVICES,6
2006011121,LEDGENT TECHNOLOGY/ADAMS AND MARTIN GROUP,cd_1,5613,EMPLOYMENT SERVICES,4
2006011142,MCCLOSKEY WARING WAISMAN & DRURY LLP,cd_1,54119,OTHER LEGAL SERVICES,5
2006012771,TATTOO ROYALE/TATTOO ROYALE INK,cd_2,812196,TATTOO PARLORS,6
2006014445,HIDEN ROTT & OERTLE LLP,cd_7,56149,OTHER BUSINESS SUPPORT SERVICES,5
2006014526,1525 SECOND AVE LP,cd_3,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2006014765,GRANT THORTON LLP,cd_1,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2007000136,MOSS ADAMS LLP,cd_7,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
2007003007,LOS PRIMOS MEXICAN FOOD,cd_9,72221,LIMITED-SERVICE EATING PLACES,5
2007003116,IMPACT COMPONENTS,cd_6,42169,OTHER ELECTRONIC PARTS & EQUIPMENT WHSLE,5
2007004047,STEPSTONE GROUP LP,cd_1,52,FINANCE & INSURANCE,2
2007005175,MORENA STREET DEVELOPMENT LLC,cd_2,5324,COMMERCIAL/INDUSTRIAL EQUIP RENTAL & LEASING,4
2007006325,POINTE LUXE APARTMENTS,cd_1,53231,GENERAL RENTAL CENTERS,5
2007007061,PACIFIC WEST HOLDINGS LP,cd_2,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007007100,3515 LTD,cd_2,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2007007910,IV DAES LP,cd_7,5239,OTHER FINANCIAL INVESTMENT ACTIVITIES,4
2007010852,REDHILL REALTY INVESTORS LP,cd_1,53139,OTHER ACTIVITIES RELATED TO REAL ESTATE,5
2007014935,MIRO-PALLAVICINI FLP,cd_6,531,REAL ESTATE,3
2007015413,ELIAS FAMILY LIMITED PARTNERSHIP,cd_1,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007015787,MOREHEAD PARTNERS,cd_9,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007016178,SPS PROPERTIES PARTNERSHIP LP,cd_3,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007016327,GIBBS & FUERST LLP,cd_3,54111,OFFICES OF LAWYERS,5
2007016359,PRSD LP,cd_1,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007016409,SEDLACK DEVELOPMENT CO LP,cd_2,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2007017498,SHANTALLA LTD,cd_6,53119,LESSORS OF OTHER REAL ESTATE PROPERTY,5
2007017624,STRAZZERI MANCINI LLP,cd_6,54111,OFFICES OF LAWYERS,5
2007017700,MM MCFARLAND FAMILY LIMITED PARTNERSHIP,cd_1,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2007018023,WEINRICK INVESTMENTS LP,cd_3,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007018107,CORGAN LIMITED PARTNERSHIP,cd_6,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007019091,ARS AERO LP,cd_7,53,REAL ESTATE & RENTAL & LEASING,2
2007019632,BKW FAMILY LIMITED PARTNERSHIP,cd_1,561,ADMINISTRATIVE & SUPPORT SERVICES,3
2007021639,SECURED CAPITAL LIMITED PARTNERSHIP,cd_7,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2007022146,SDDR IV,cd_7,621,AMBULATORY HEALTH CARE SERVICES,3
2007022822,THE LOAN COMPANY OF SAN DIEGO,cd_3,522291,CONSUMER LENDING,6
2007023006,PORTO VISTA HOTEL,cd_3,531,REAL ESTATE,3
2007025132,CEDAR SHORES APARTMENTS,cd_6,532,RENTAL & LEASING SERVICES,3
2007027081,PACIFIC REALTY ADVISORS LP,cd_7,532,RENTAL & LEASING SERVICES,3
2007029372,LAGASSE BRANCH BELL KINKEAD LLP,cd_1,54111,OFFICES OF LAWYERS,5
2007029394,BORDER STATION PARKING,cd_8,81293,PARKING LOTS & GARAGES,5
2008000145,BROWNSTEIN HYATT FARBER SCHRECK,cd_3,54111,OFFICES OF LAWYERS,5
2008000907,FIRE MASTER,cd_5,8113,COMMERCIAL EQUIPMENT (EXC AUTO & ELEC) R&M,4
2008002246,BERNARDO PALM LP,cd_3,55111,MANAGEMENT OF COMPANIES & ENTERPRISES,5
2008006840,TEMECULA OLIVE OIL COMPANY,cd_3,452,GENERAL MERCHANDISE STORES,3
2008010495,SQUIRES SHERMAN & BIOTEAU LLP,cd_7,54119,OTHER LEGAL SERVICES,5
2008010814,SANTE FE SHOPPING DEPOT LTD,cd_3,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2008016718,BDO USA LLP,cd_1,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
2008016723,CASEY GERRY SCHENK FRANCAVILLA BLATT & PENFIELD,cd_3,54111,OFFICES OF LAWYERS,5
2008019585,OASIS SURGERY CENTER,cd_6,62211,GENERAL MEDICAL & SURGICAL HOSPITALS,5
2008022384,BUCHANAN INGERSOLL & ROONEY LLP,cd_3,5411,LEGAL SERVICES,4
2008025825,ARBORWELL,cd_6,56173,LANDSCAPING SERVICES,5
2008026162,SABRE SPRINGS ARCO AM PM,cd_5,44711,GASOLINE STATIONS WITH CONVENIENCE STORES,5
2008041680,AGUIRRE & SEVERSON LLP,cd_3,54111,OFFICES OF LAWYERS,5
2009000691,LOS PRIMOS MEXICAN FOOD,cd_9,722211,LIMITED-SERVICE RESTAURANTS,6
2009001708,A 1 SELF STORAGE,cd_3,53113,LESSORS OF MINIWAREHOUSE & SELF STORAGE UNITS,5
2009003243,ALTMAN INVESTMENT COMPANY LP,cd_1,531312,NONRESIDENTIAL PROPERTY MANAGERS,6
2009010415,THE SUMMIT AT POINT LOMA APARTMENTS,cd_2,531311,RESIDENTIAL PROPERTY MANAGERS,6
2009010605,BS IMPORT EXPORT,cd_3,4219,MISCELLANEOUS DURABLE GOODS WHSLE,4
2009027041,CALLAHAN THOMPSON SHERMAN & CAUDILL LLP,cd_3,54111,OFFICES OF LAWYERS,5
2009034447,TRANSCORE LP,cd_6,23599,ALL OTHER SPECIAL TRADE CONTRACTORS,5
2010000371,DGAF COMPANY LP,cd_2,53131,REAL ESTATE PROPERTY MANAGERS,5
2010001598,OSBORNE & NESBITT LLP,cd_3,54111,OFFICES OF LAWYERS,5
2010005804,ROEDER & BRODER LLP,cd_5,5411,LEGAL SERVICES,4
2010007021,EL PREZ BEACH BAR AND COCINA,cd_2,72211,FULL-SERVICE RESTAURANTS,5
2010012365,LAPIZ PROPERTIES GROUP LTD,cd_1,531312,NONRESIDENTIAL PROPERTY MANAGERS,6
2010013586,SWENSON ADVISORS LLP,cd_3,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
2010014356,ESSEL 4TH AVENUE APARTMENTS LP,cd_3,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2010032879,THE CURRANT RESTAURANT,cd_3,722,FOOD SERVICES & DRINKING PLACES,3
2010039235,DIAMOND ENVIRONMENTAL SERVICES LP,cd_6,81,OTHER BUSINESS SERVICES,2
2011013659,JOHNSON FISTEL LLP,cd_3,54111,OFFICES OF LAWYERS,5
2011032913,A-1 SELF STORAGE,cd_6,453,MISCELLANEOUS STORE RETAILERS,3
2011034171,HKG DUTY FREE,cd_8,44531,"BEER, WINE & LIQUOR STORES",5
2011034178,HKG DUTY FREE,cd_8,44531,"BEER, WINE & LIQUOR STORES",5
2011034190,LAW OFFICES OF BRANSON & BRANSON LLP,cd_6,54111,OFFICES OF LAWYERS,5
2011035371,MCDONALD'S,cd_3,72221,LIMITED-SERVICE EATING PLACES,5
2012000181,PEOPLES LAW GROUP LLP,cd_3,54111,OFFICES OF LAWYERS,5
2012002602,THE DUCK DIVE LP,cd_2,72211,FULL-SERVICE RESTAURANTS,5
2012007200,KARL STRAUSS BREWING COMPANY,cd_2,5611,OFFICE ADMINISTRATIVE SERVICES,4
2012018005,MEGA LP,cd_3,52399,ALL OTHER FINANCIAL INVESTMENT ACTIVITIES,5
2012062303,ALDRICH RETIREMENT SOLUTIONS LP,cd_7,541615,CONSULTING SERVICES,6
2012092720,MWC LIMITED PARTNERSHIP,cd_1,52591,OPEN-END INVESTMENT FUNDS,5
2013037207,PEARLMAN BROWN & WAX LLP,cd_7,54111,OFFICES OF LAWYERS,5
2013048493,INTELLIGENT BLENDS,cd_1,31192,COFFEE & TEA MFG,5
2013053529,IMPERIAL PACIFIC VILLAGE LP,cd_3,53111,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,5
2013053990,MURRILL & GERBINO LLP,cd_1,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
2013066364,BOWMAN AND BROOKE LLP,cd_3,54111,OFFICES OF LAWYERS,5
2013067165,ARIEL,cd_3,531311,RESIDENTIAL PROPERTY MANAGERS,6
2014007935,MULLEN FILIPPI  LLP,cd_3,54111,OFFICES OF LAWYERS,5
2014027828,STEES WALKER COMPANY LLP,cd_5,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,6
2014029085,GREENFIELD VILLAGE,cd_8,532,RENTAL & LEASING SERVICES,3
2014032206,REPRODUCTIVE SCIENCES MANAGEMENT COMPANY LLC,cd_1,6219,OTHER AMBULATORY HEALTH CARE SERVICES,4
2014034430,ALVAREZ TAX & ACCOUNTING  LLP,cd_6,541213,TAX PREPARATION SERVICES,6
2015001080,LEVY RESTAURANTS AT VALLEY VIEW CASINO CENTER,cd_2,72221,LIMITED-SERVICE EATING PLACES,5
2015012505,SEASALT DEL MAR,cd_1,72211,FULL-SERVICE RESTAURANTS,5
2015014521,SILBERMAN LAM LLP,cd_7,54111,OFFICES OF LAWYERS,5
2015016205,THE CLUBHOUSE AT IMPERIAL BEACH LP,cd_8,53111,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,5
2015022760,SHEWRY SALDA A LLP,cd_3,8129,OTHER PERSONAL SERVICES,4
2015023675,ROWE MULLEN LLP,cd_1,54111,OFFICES OF LAWYERS,5
2015026552,WOOD RANCH BBQ AND GRILL,cd_7,72211,FULL-SERVICE RESTAURANTS,5
2015032777,CUCINA ENOTECA DEL MAR,cd_3,7221,FULL-SERVICE RESTAURANTS,4
2015033077,WITHERS BERGMAN LLP,cd_3,5411,LEGAL SERVICES,4
2015034843,EQUITY LEGAL LLP,cd_3,54111,OFFICES OF LAWYERS,5
2015037119,ALDRIDGE PITE LLP,cd_2,54111,OFFICES OF LAWYERS,5
2015037293,ANTONYAN MIRANDA LLP,cd_3,54111,OFFICES OF LAWYERS,5
2015041152,HAGENS BERMAN SOBOL SHAPIRO LLP,cd_3,54111,OFFICES OF LAWYERS,5
2015045199,TRUST RESTAURANT,cd_3,72211,FULL-SERVICE RESTAURANTS,5
2015048818,ALPHA SQUARE APARTMENTS,cd_7,53139,OTHER ACTIVITIES RELATED TO REAL ESTATE,5
2016000801,JOHNSON HEEDER LLP,cd_7,54111,OFFICES OF LAWYERS,5
2016001854,DFS FLOORING LP,cd_5,23552,FLOOR LAYING & OTHER FLOOR CONTRACTORS,5
2016002762,EAGLES FINANCIAL SOLUTIONS,cd_7,52411,DIRECT LIFE/HEALTH/MEDICAL INSURANCE CARRIERS,5
2016003323,HAYES & ORTEGA LLP,cd_6,54111,OFFICES OF LAWYERS,5
2016006773,CONTINENTAL MOBILE HOUSING LTD,cd_1,53131,REAL ESTATE PROPERTY MANAGERS,5
2016007148,KIRBY & KIRBY LLP,cd_3,54111,OFFICES OF LAWYERS,5
2016010306,RANDSTAD INHOUSE SERVICES LP,cd_6,56131,EMPLOYMENT PLACEMENT AGENCIES,5
2016011401,PALI WINE COMPANY,cd_3,31213,WINERIES,5
2016012081,DUNN DESANTIS WALT & KENDRICK LLP,cd_3,54111,OFFICES OF LAWYERS,5
2016016584,AJMD BURBANK LLC,cd_1,5313,ACTIVITIES RELATED TO REAL ESTATE,4
2016018898,CHUNG LAW FIRM LLP,cd_1,54111,OFFICES OF LAWYERS,5
2016019247,WOO ALLEN LAW  LLP,cd_1,54111,OFFICES OF LAWYERS,5
2016024345,CALIFORNIA BUSINESS IMMIGRATION LLP,cd_3,54111,OFFICES OF LAWYERS,5
2017000010,PKF LLP,cd_7,54121,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,5
2017000816,MAGNABIOANALYTICS LP,cd_6,339,MISCELLANEOUS MFG,3
2017000928,BROKEN YOLK CAFE,cd_5,72211,FULL-SERVICE RESTAURANTS,5
2017000937,SCHOR VOGELZANG & CHUNG LLP,cd_3,54111,OFFICES OF LAWYERS,5
2017002698,EDWARD JONES,cd_5,52312,SECURITIES BROKERAGE,5
2017006514,PARKS & SOLAR LLP,cd_3,54111,OFFICES OF LAWYERS,5
2017008222,MIDWAY PLAZA LP,cd_2,52399,ALL OTHER FINANCIAL INVESTMENT ACTIVITIES,5
2017008225,PHAM PROPERTIES LP,cd_2,5239,OTHER FINANCIAL INVESTMENT ACTIVITIES,4
2017008573,LA JOLLA ANESTHESIA ASSOCIATES,cd_1,62111,OFFICES OF PHYSICIANS,5
2017012581,PHAM EQUITIES LP,cd_2,53121,OFFICES OF REAL ESTATE AGENTS & BROKERS,5
2017016749,OROFACIAL THERAPEUTICS LP,cd_9,42145,MEDICAL/DENTAL/HOSPITAL EQUIP & SUPP WHSLE,5
2017019726,ATRIA RANCHO PENASQUITOS,cd_5,623,NURSING & RESIDENTIAL CARE FACILITIES,3
2017019727,ATRIA LA JOLLA,cd_1,623,NURSING & RESIDENTIAL CARE FACILITIES,3
2018000196,VOIT REAL ESTATE SERVICES,cd_1,53121,OFFICES OF REAL ESTATE AGENTS & BROKERS,5
2018000234,VINAS UNITED CRYPTO INVESTMENT GROUP,cd_6,523999,MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES,6
2018000411,HAYES ORTEGA AND SANCHEZ LLP,cd_6,54111,OFFICES OF LAWYERS,5
2018000641,NEW YORK WEST RESTAURANT,cd_3,7221,FULL-SERVICE RESTAURANTS,4
2018000770,BLOOD HURST & O'REARDON LLP,cd_3,5411,LEGAL SERVICES,4
2018002456,CLARK BUILDERS LP,cd_1,233,"BUILDING, DEVELOPING & GENERAL CONTRACTING",3
2018003426,BARNES & THORNBURG LLP,cd_3,5411,LEGAL SERVICES,4
2018006757,EDGE CYCLE L P,cd_1,71394,FITNESS & RECREATIONAL SPORTS CENTERS,5
2018006953,EDWARD D JONES & CO LP,cd_5,52312,SECURITIES BROKERAGE,5
2018014877,THE PUN GROUP LLP,cd_1,5412,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,4
2018015323,LUXO II APARTMENT HOMES LP,cd_3,531,REAL ESTATE,3
2018019536,SANDERJIAN THERAPEUTICS,cd_3,62134,OFFICES OF PT/OT/SPEECH THERAPY & AUDIOLOGY,5
2018021341,WEST END BAR AND KITCHEN LP,cd_1,72211,FULL-SERVICE RESTAURANTS,5
2018021800,SPRINGHILL SUITES SAN DIEGO RANCHO BERNARDO,cd_5,45,RETAIL TRADE,2
2018021829,ERC TRADE LP,cd_3,42248,FRESH FRUIT & VEGETABLE WHSLE,5
2018022206,INSERTS INTERNATIONAL LP,cd_2,49311,GENERAL WAREHOUSING & STORAGE,5
2018022225,LEADING MANUFACTURING SOLUTIONS LP,cd_2,421,"WHOLESALE TRADE, DURABLE GOODS",3
2018023600,ALLIED UNIVERSAL SECURITY SERVICES,cd_5,561612,SECURITY GUARDS & PATROL SERVICES,6
2018024376,THRIVE AFFORDABLE VET CARE,cd_6,54194,VETERINARY SERVICES,5
2018026449,FORT OAK,cd_3,7221,FULL-SERVICE RESTAURANTS,4
2018027955,DR BOYDS PET RESORT,cd_3,54194,VETERINARY SERVICES,5
2019000439,GREELEY THOMPSON,cd_3,54111,OFFICES OF LAWYERS,5
2019004000,HDP WEST PARK LP,cd_3,53111,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,5
2019005314,SPRINT 8930,cd_5,4431,ELECTRONICS & APPLIANCE STORES,4
2019005320,SPRINT 8942,cd_8,443112,"RADIO, TELEVISION & OTHER ELECTRONICS STORES",6
2019005321,SPRINT 8943,cd_3,4431,ELECTRONICS & APPLIANCE STORES,4
2019005334,SPRINT 8934,cd_2,443,ELECTRONICS & APPLIANCE STORES,3
2019007467,EDWARD JONES,cd_6,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",3
2019007816,BODHI ANIMAL HOSPITAL,cd_3,54194,VETERINARY SERVICES,5
2019009779,RETREATS 2 GO,cd_2,611627,YOGA STUDIO,6
2019013184,HILTON GARDEN INN MISSION VALLEY STADIUM,cd_6,72111,HOTELS (EXC CASINO HOTELS) & MOTELS,5
2019013477,TAYLOR & ANDERSON LLP,cd_1,5411,LEGAL SERVICES,4
2019013900,CUBESMART,cd_6,49319,OTHER WAREHOUSING & STORAGE,5
2019015278,BEYER BOULEVARD APARTMENTS LP,cd_8,531311,RESIDENTIAL PROPERTY MANAGERS,6
2019015988,"CLK 5 JUICE, LP",cd_2,7222,LIMITED-SERVICE EATING PLACES,4
2019015989,CLK 1 JUICE LP,cd_7,7222,LIMITED-SERVICE EATING PLACES,4
2019015990,CLK 1 JUICE LP,cd_9,7222,LIMITED-SERVICE EATING PLACES,4
2019015992,CLK 2 JUICES LP,cd_1,722211,LIMITED-SERVICE RESTAURANTS,6
2019015993,CLK 2 JUICE LP,cd_6,72221,LIMITED-SERVICE EATING PLACES,5
2019015994,CLK 2 JUICE LP,cd_2,7222,LIMITED-SERVICE EATING PLACES,4
2019015995,CLK 2 JUICE LP,cd_5,7222,LIMITED-SERVICE EATING PLACES,4
2019015997,CLK 3 JUICE LP,cd_1,7222,LIMITED-SERVICE EATING PLACES,4
2019015999,CLK 3 JUICE LP,cd_6,7222,LIMITED-SERVICE EATING PLACES,4
2019016000,CLK 3 JUICE LP,cd_2,7222,LIMITED-SERVICE EATING PLACES,4
2019016001,CLK 3 JUICE LP,cd_7,7222,LIMITED-SERVICE EATING PLACES,4
