naics,naics_description
212321,Construction Sand and Gravel Mining
212322,Industrial Sand Mining
212324,Kaolin and Ball Clay Mining
212325,Clay and Ceramic and Refractory Minerals Mining
212391,"Potash, Soda, and Borate Mineral Mining"
212392,Phosphate Rock Mining
212393,Other Chemical and Fertilizer Mineral Mining
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
238910,Site Preparation Contractors
541360,Geophysical Surveying and Mapping Services
212319,Other Crushed and Broken Stone Mining and Quarrying
212399,All Other Nonmetallic Mineral Mining
236115,New Single-Family Housing Construction (except For-Sale Builders)
236118,Residential Remodelers
236116,New Multifamily Housing Construction (except For-Sale Builders)
236118,Residential Remodelers
236220,Commercial and Institutional Building Construction
236117,New Housing For-Sale Builders
236118,Residential Remodelers
236210,Industrial Building Construction
236220,Commercial and Institutional Building Construction
236210,Industrial Building Construction
236220,Commercial and Institutional Building Construction
236220,Commercial and Institutional Building Construction
237310,"Highway, Street, and Bridge Construction"
237310,"Highway, Street, and Bridge Construction"
237990,Other Heavy and Civil Engineering Construction
237110,Water and Sewer Line and Related Structures Construction
237120,Oil and Gas Pipeline and Related Structures Construction
237130,Power and Communication Line and Related Structures Construction
236210,Industrial Building Construction
237110,Water and Sewer Line and Related Structures Construction
237120,Oil and Gas Pipeline and Related Structures Construction
237130,Power and Communication Line and Related Structures Construction
237990,Other Heavy and Civil Engineering Construction
238910,Site Preparation Contractors
238210,Electrical Contractors and Other Wiring Installation Contractors
238220,"Plumbing, Heating, and Air-Conditioning Contractors"
238910,Site Preparation Contractors
237310,"Highway, Street, and Bridge Construction"
238320,Painting and Wall Covering Contractors
238210,Electrical Contractors and Other Wiring Installation Contractors
238140,Masonry Contractors
238310,Drywall and Insulation Contractors
238310,Drywall and Insulation Contractors
238340,Tile and Terrazzo Contractors
238130,Framing Contractors
238350,Finish Carpentry Contractors
238310,Drywall and Insulation Contractors
238330,Flooring Contractors
238160,Roofing Contractors
238170,Siding Contractors
238390,Other Building Finishing Contractors
238110,Poured Concrete Foundation and Structure Contractors
238140,Masonry Contractors
238990,All Other Specialty Trade Contractors
237110,Water and Sewer Line and Related Structures Construction
238120,Structural Steel and Precast Concrete Contractors
238190,"Other Foundation, Structure, and Building Exterior Contractors"
238220,"Plumbing, Heating, and Air-Conditioning Contractors"
238310,Drywall and Insulation Contractors
238150,Glass and Glazing Contractors
238910,Site Preparation Contractors
238910,Site Preparation Contractors
238220,"Plumbing, Heating, and Air-Conditioning Contractors"
238290,Other Building Equipment Contractors
236220,Commercial and Institutional Building Construction
237990,Other Heavy and Civil Engineering Construction
238150,Glass and Glazing Contractors
238190,"Other Foundation, Structure, and Building Exterior Contractors"
238290,Other Building Equipment Contractors
238310,Drywall and Insulation Contractors
238320,Painting and Wall Covering Contractors
238350,Finish Carpentry Contractors
238390,Other Building Finishing Contractors
238910,Site Preparation Contractors
238990,All Other Specialty Trade Contractors
561790,Other Services to Buildings and Dwellings
562910,Remediation Services
311611,Animal (except Poultry) Slaughtering
311612,Meat Processed from Carcasses
311613,Rendering and Meat Byproduct Processing 
311615,Poultry Processing
311999,All Other Miscellaneous Food Manufacturing
311512,Creamery Butter Manufacturing
311513,Cheese Manufacturing
311511,Fluid Milk Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311520,Ice Cream and Frozen Dessert Manufacturing
311511,Fluid Milk Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311422,Specialty Canning
311999,All Other Miscellaneous Food Manufacturing
311421,Fruit and Vegetable Canning
311211,Flour Milling
311423,Dried and Dehydrated Food Manufacturing
311999,All Other Miscellaneous Food Manufacturing
311421,Fruit and Vegetable Canning
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311412,Frozen Specialty Food Manufacturing
311211,Flour Milling
311230,Breakfast Cereal Manufacturing
311920,Coffee and Tea Manufacturing
311212,Rice Milling
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
311221,Wet Corn Milling
311225,Fats and Oils Refining and Blending
311111,Dog and Cat Food Manufacturing
311119,Other Animal Food Manufacturing
311611,Animal (except Poultry) Slaughtering
311812,Commercial Bakeries
311812,Commercial Bakeries
311821,Cookie and Cracker Manufacturing
311919,Other Snack Food Manufacturing
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
311314,Cane Sugar Manufacturing
311314,Cane Sugar Manufacturing
311313,Beet Sugar Manufacturing
311340,Nonchocolate Confectionery Manufacturing
311352,Confectionery Manufacturing from Purchased Chocolate 
311351,Chocolate and Confectionery Manufacturing from Cacao Beans
311352,Confectionery Manufacturing from Purchased Chocolate
311340,Nonchocolate Confectionery Manufacturing
311911,Roasted Nuts and Peanut Butter Manufacturing
311224,Soybean and Other Oilseed Processing
311225,Fats and Oils Refining and Blending
311224,Soybean and Other Oilseed Processing
311225,Fats and Oils Refining and Blending
311224,Soybean and Other Oilseed Processing
311225,Fats and Oils Refining and Blending
311613,Rendering and Meat Byproduct Processing
311710,Seafood Product Preparation and Packaging
311710,Seafood Product Preparation and Packaging
311224,Soybean and Other Oilseed Processing
311224,Soybean and Other Oilseed Processing
311225,Fats and Oils Refining and Blending
311942,Spice and Extract Manufacturing
312120,Breweries
311213,Malt Manufacturing
312130,Wineries
312130,Wineries
312140,Distilleries
312111,Soft Drink Manufacturing
312112,Bottled Water Manufacturing
311920,Coffee and Tea Manufacturing
311930,Flavoring Syrup and Concentrate Manufacturing
311942,Spice and Extract Manufacturing
311999,All Other Miscellaneous Food Manufacturing
311710,Seafood Product Preparation and Packaging
311710,Seafood Product Preparation and Packaging
311920,Coffee and Tea Manufacturing
311919,Other Snack Food Manufacturing
312113,Ice Manufacturing
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
111998,All Other Miscellaneous Crop Farming
112519,Other Aquaculture
311212,Rice Milling
311340,Nonchocolate Confectionery Manufacturing 
311423,Dried and Dehydrated Food Manufacturing
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
311830,Tortilla Manufacturing
311911,Roasted Nuts and Peanut Butter Manufacturing
311920,Coffee and Tea Manufacturing
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311942,Spice and Extract Manufacturing
311991,Perishable Prepared Food Manufacturing
311999,All Other Miscellaneous Food Manufacturing
312230,Tobacco Manufacturing
312230,Tobacco Manufacturing
312230,Tobacco Manufacturing
312230,Tobacco Manufacturing
312230,Tobacco Manufacturing
313210,Broadwoven Fabric Mills
313210,Broadwoven Fabric Mills
313210,Broadwoven Fabric Mills
313310,Textile and Fabric Finishing Mills
313310,Textile and Fabric Finishing Mills
313220,Narrow Fabric Mills and Schiffli Machine Embroidery
313310,Textile and Fabric Finishing Mills
315110,Hosiery and Sock Mills
313310,Textile and Fabric Finishing Mills
315110,Hosiery and Sock Mills
315110,Hosiery and Sock Mills
313310,Textile and Fabric Finishing Mills
315190,Other Apparel Knitting Mills
315190,Other Apparel Knitting Mills
313310,Textile and Fabric Finishing Mills
315190,Other Apparel Knitting Mills
313240,Knit Fabric Mills
313310,Textile and Fabric Finishing Mills
313240,Knit Fabric Mills
313310,Textile and Fabric Finishing Mills
313240,Knit Fabric Mills
313240,Knit Fabric Mills
313310,Textile and Fabric Finishing Mills
315190,Other Apparel Knitting Mills
315190,Other Apparel Knitting Mills
313310,Textile and Fabric Finishing Mills
313310,Textile and Fabric Finishing Mills
313310,Textile and Fabric Finishing Mills
313310,Textile and Fabric Finishing Mills
314110,Carpet and Rug Mills
313110,"Fiber, Yarn, and Thread Mills"
313110,"Fiber, Yarn, and Thread Mills"
313110,"Fiber, Yarn, and Thread Mills"
313310,Textile and Fabric Finishing Mills
313320,Fabric Coating Mills
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
313230,Nonwoven Fabric Mills
313110,"Fiber, Yarn, and Thread Mills"
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
313110,"Fiber, Yarn, and Thread Mills"
313110,"Fiber, Yarn, and Thread Mills"
313110,"Fiber, Yarn, and Thread Mills"
313210,Broadwoven Fabric Mills
313220,Narrow Fabric Mills and Schiffli Machine Embroidery
313230,Nonwoven Fabric Mills
313310,Textile and Fabric Finishing Mills
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315990,Apparel Accessories and Other Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315280,Other Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315280,Other Cut and Sew Apparel Manufacturing
315990,Apparel Accessories and Other Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315990,Apparel Accessories and Other Apparel Manufacturing 
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315280,Other Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315990,Apparel Accessories and Other Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315280,Other Cut and Sew Apparel Manufacturing
315990,Apparel Accessories and Other Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315280,Other Cut and Sew Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315990,Apparel Accessories and Other Apparel Manufacturing
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315280,Other Cut and Sew Apparel Manufacturing
315990,Apparel Accessories and Other Apparel Manufacturing
314120,Curtain and Linen Mills
314120,Curtain and Linen Mills
314910,Textile Bag and Canvas Mills
314999,All Other Miscellaneous Textile Product Mills
339994,"Broom, Brush, and Mop Manufacturing"
314910,Textile Bag and Canvas Mills
314910,Textile Bag and Canvas Mills
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315990,Apparel Accessories and Other Apparel Manufacturing
323113,Commercial Screen Printing
336360,Motor Vehicle Seating and Interior Trim Manufacturing
313220,Narrow Fabric Mills and Schiffli Machine Embroidery
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315990,Apparel Accessories and Other Apparel Manufacturing
336360,Motor Vehicle Seating and Interior Trim Manufacturing
113310,Logging
321113,Sawmills
321912,"Cut Stock, Resawing Lumber, and Planing"
321918,Other Millwork (including Flooring)
321920,Wood Container and Pallet Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing
321113,Sawmills
321912,"Cut Stock, Resawing Lumber, and Planing"
321918,Other Millwork (including Flooring)
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
321113,Sawmills
321920,Wood Container and Pallet Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing
321911,Wood Window and Door Manufacturing
321918,Other Millwork (including Flooring)
337110,Wood Kitchen Cabinet and Countertop Manufacturing
321211,Hardwood Veneer and Plywood Manufacturing
321212,Softwood Veneer and Plywood Manufacturing
321213,Engineered Wood Member (except Truss) Manufacturing
321214,Truss Manufacturing
321920,Wood Container and Pallet Manufacturing
321920,Wood Container and Pallet Manufacturing
321920,Wood Container and Pallet Manufacturing
321991,Manufactured Home (Mobile Home) Manufacturing
321992,Prefabricated Wood Building Manufacturing
321114,Wood Preservation
321219,Reconstituted Wood Product Manufacturing
321920,Wood Container and Pallet Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
337125,Household Furniture (except Wood and Metal) Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
339999,All Other Miscellaneous Manufacturing
337122,Nonupholstered Wood Household Furniture Manufacturing
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
337121,Upholstered Household Furniture Manufacturing
337121,Upholstered Household Furniture Manufacturing
337124,Metal Household Furniture Manufacturing 
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
337121,Upholstered Household Furniture Manufacturing
337910,Mattress Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing
337125,Household Furniture (except Wood and Metal) Manufacturing
337211,Wood Office Furniture Manufacturing
337214,Office Furniture (except Wood) Manufacturing
336360,Motor Vehicle Seating and Interior Trim Manufacturing
337127,Institutional Furniture Manufacturing
339940,Office Supplies (except Paper) Manufacturing
337110,Wood Kitchen Cabinet and Countertop Manufacturing
337127,Institutional Furniture Manufacturing
337212,Custom Architectural Woodwork and Millwork Manufacturing
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
337127,Institutional Furniture Manufacturing
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
337920,Blind and Shade Manufacturing
333249,Other Industrial Machinery Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
333994,Industrial Process Furnace and Oven Manufacturing
333997,Scale and Balance Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
337127,Institutional Furniture Manufacturing
337127,Institutional Furniture Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
322110,Pulp Mills
322121,Paper (except Newsprint) Mills
322122,Newsprint Mills
322130,Paperboard Mills
322121,Paper (except Newsprint) Mills
322122,Newsprint Mills
322130,Paperboard Mills
322219,Other Paperboard Container Manufacturing
322211,Corrugated and Solid Fiber Box Manufacturing
322219,Other Paperboard Container Manufacturing
322219,Other Paperboard Container Manufacturing
322212,Folding Paperboard Box Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
326111,Plastics Bag and Pouch Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
322230,Stationery Product Manufacturing
322299,All Other Converted Paper Product Manufacturing
322291,Sanitary Paper Product Manufacturing
322230,Stationery Product Manufacturing
322230,Stationery Product Manufacturing
322211,Corrugated and Solid Fiber Box Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
322230,Stationery Product Manufacturing
322299,All Other Converted Paper Product Manufacturing
511110,Newspaper Publishers
519130,Internet Publishing and Broadcasting and Web Search Portals
511120,Periodical Publishers
519130,Internet Publishing and Broadcasting and Web Search Portals
511130,Book Publishers
512230,Music Publishers
519130,Internet Publishing and Broadcasting and Web Search Portals
323117,Books Printing
511120,Periodical Publishers
511130,Book Publishers
511140,Directory and Mailing List Publishers
511199,All Other Publishers
512230,Music Publishers
519130,Internet Publishing and Broadcasting and Web Search Portals
323111,Commercial Printing (except Screen and Books) 
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323113,Commercial Screen Printing
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323113,Commercial Screen Printing
511191,Greeting Card Publishers
519130,Internet Publishing and Broadcasting and Web Search Portals
323111,Commercial Printing (except Screen and Books)
323111,Commercial Printing (except Screen and Books)
323120,Support Activities for Printing
323120,Support Activities for Printing
323120,Support Activities for Printing
325180,Other Basic Inorganic Chemical Manufacturing
325120,Industrial Gas Manufacturing
325130,Synthetic Dye and Pigment Manufacturing
325180,Other Basic Inorganic Chemical Manufacturing
211130,Natural Gas Extraction
325130,Synthetic Dye and Pigment Manufacturing
325180,Other Basic Inorganic Chemical Manufacturing
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
331313,Alumina Refining and Primary Aluminum Production
325211,Plastics Material and Resin Manufacturing
325212,Synthetic Rubber Manufacturing
325220,Artificial and Synthetic Fibers and Filaments Manufacturing 
325220,Artificial and Synthetic Fibers and Filaments Manufacturing
325411,Medicinal and Botanical Manufacturing
325412,Pharmaceutical Preparation Manufacturing
325412,Pharmaceutical Preparation Manufacturing
325413,In-Vitro Diagnostic Substance Manufacturing
325414,Biological Product (except Diagnostic) Manufacturing
325611,Soap and Other Detergent Manufacturing
325612,Polish and Other Sanitation Good Manufacturing
325613,Surface Active Agent Manufacturing
325611,Soap and Other Detergent Manufacturing
325620,Toilet Preparation Manufacturing
325510,Paint and Coating Manufacturing
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
325110,Petrochemical Manufacturing
325130,Synthetic Dye and Pigment Manufacturing
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
325110,Petrochemical Manufacturing
325120,Industrial Gas Manufacturing
325180,Other Basic Inorganic Chemical Manufacturing
325193,Ethyl Alcohol Manufacturing
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
325199,All Other Basic Organic Chemical Manufacturing
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
325311,Nitrogenous Fertilizer Manufacturing
325312,Phosphatic Fertilizer Manufacturing
325314,Fertilizer (Mixing Only) Manufacturing
325320,Pesticide and Other Agricultural Chemical Manufacturing
325520,Adhesive Manufacturing
325920,Explosives Manufacturing
325910,Printing Ink Manufacturing
325180,Other Basic Inorganic Chemical Manufacturing
311942,Spice and Extract Manufacturing
325199,All Other Basic Organic Chemical Manufacturing
325510,Paint and Coating Manufacturing
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
324110,Petroleum Refineries 
324121,Asphalt Paving Mixture and Block Manufacturing
324122,Asphalt Shingle and Coating Materials Manufacturing
324191,Petroleum Lubricating Oil and Grease Manufacturing
324199,All Other Petroleum and Coal Products Manufacturing
326211,Tire Manufacturing (except Retreading)
316210,Footwear Manufacturing
326220,Rubber and Plastics Hoses and Belting Manufacturing
339991,"Gasket, Packing, and Sealing Device Manufacturing"
326291,Rubber Product Manufacturing for Mechanical Use
326299,All Other Rubber Product Manufacturing
313320,Fabric Coating Mills
314910,Textile Bag and Canvas Mills
315280,Other Cut and Sew Apparel Manufacturing
315990,Apparel Accessories and Other Apparel Manufacturing
326199,All Other Plastics Product Manufacturing
326299,All Other Rubber Product Manufacturing
336612,Boat Building
339113,Surgical Appliance and Supplies Manufacturing
339920,Sporting and Athletic Goods Manufacturing
339930,"Doll, Toy, and Game Manufacturing"
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
326121,Unlaminated Plastics Profile Shape Manufacturing
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
326122,Plastics Pipe and Pipe Fitting Manufacturing
326160,Plastics Bottle Manufacturing
326140,Polystyrene Foam Product Manufacturing
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
